Date,High,Avg,Low,High Temperature,Avg Temperature,Low Temperature,High Dew Pot,Avg Dew Pot,Low Dew Pot,High Wd Speed (mph),Avg Wd Speed (mph),Low Wd Speed,High Pressure,Low Pressure,Rainfall (in)
6/18/2021,75.4,67.3,55.7,65,59.6,53.1,93%,77%,56%,19,8.4,0,30.1,29.95,0
6/19/2021,74,68.9,65.8,67.8,63.9,59.8,94%,84%,79%,23,12,0,29.96,29.77,0
6/20/2021,79,70.8,66,70.4,65.5,62.3,94%,84%,70%,20,7.5,0,29.92,29.78,0.01
6/21/2021,72.7,70.1,66.9,70.7,68.5,64.8,97%,95%,91%,20,8.5,0,29.9,29.73,0
6/22/2021,77,69.7,62.7,71.2,67.2,61.2,97%,92%,80%,18,7.5,0,29.9,29.69,0.18
6/23/2021,74.4,64.4,56.7,63.4,54.7,46,96%,73%,41%,21,6.7,0,30.38,29.9,0.01
6/24/2021,79.1,66.3,54.9,63.1,54.9,46.1,96%,70%,37%,10,1.8,0,30.5,30.37,0
6/25/2021,74.8,67.1,60.7,71.3,65.2,58.6,97%,94%,85%,17,6.7,0,30.45,30.35,0.1
6/26/2021,77.7,71.4,67.2,73.5,69.9,65.7,99%,95%,85%,20,10.5,4,30.38,30.28,0
6/27/2021,74.9,71.5,69.5,71.4,69.7,67.8,98%,94%,87%,23,12.5,4,30.29,30.22,0
6/28/2021,77.8,72.3,69.3,72.5,69.5,67.9,96%,91%,81%,20,11.6,4,30.28,30.23,0
6/29/2021,81.4,74,69.7,74.3,70.2,67.6,94%,88%,76%,20,9.8,3,30.26,30.15,0
7/1/2021,84.2,75,70.8,74.9,71.2,69,96%,88%,71%,21,4.7,0,29.96,29.81,0.25
7/2/2021,72.2,64.8,59.3,71.1,63.6,58.4,97%,96%,93%,20,4.8,0,29.91,29.77,0.14
7/3/2021,64.3,59.7,56.9,60.9,57.9,56,97%,94%,84%,17,4.2,0,29.91,29.82,0.94
7/4/2021,66.6,59.9,56.1,61.3,57.7,55,97%,93%,77%,13,4.4,0,30.1,29.86,0.06
