Year Day	Temperature C	CO2	Battery Voltage
135.7402	10.32		11.63
135.7410			
135.7605	10.32	392.7	12.02
135.7606			
135.7814	10.16	394.8	12.02
135.7815			
135.8022	10.20	401.7	12.00
135.8023			
135.8230	10.40	410.6	12.01
135.8231			
135.8439	10.40	409.4	12.01
135.8440			
135.8647	10.43	408.8	12.01
135.8648			
135.8855	10.45	408.9	12.01
135.8856			
135.9064	10.45	404.4	12.01
135.9065			
135.9272	10.43	399.0	12.01
135.9273			
135.9480	10.36	399.0	12.02
135.9481			
135.9689	10.27	395.6	12.02
135.9690			
135.9897	10.27	395.8	12.02
135.9898			
136.0105	10.25	394.3	12.02
136.0106			
136.0314	10.25	399.0	12.02
136.0315			
136.0522	10.25	396.1	12.02
136.0523			
136.0730	10.23	384.1	12.02
136.0731			
136.0939	10.20	356.7	12.02
136.0940			
136.1147	10.11	397.3	12.02
136.1148			
136.1355	10.14	401.0	12.02
136.1356			
136.1564	10.20	394.2	12.02
136.1565			
136.1772	10.18	387.3	12.02
136.1773			
136.1980	10.23	393.3	12.02
136.1981			
136.2189	10.20	384.2	12.02
136.2190			
136.2397	10.16	384.7	12.02
136.2398			
136.2605	10.16	316.7	12.02
136.2606			
136.2814	10.16	325.9	12.02
136.2815			
136.3022	10.23	373.3	12.02
136.3023			
136.3230	10.38	407.3	12.02
136.3231			
136.3439	10.40	415.5	12.02
136.3440			
136.3647	10.43	411.9	12.02
136.3648			
136.3855	10.38	325.7	12.02
136.3856			
136.4064	10.36	300.9	12.02
136.4065			
136.4272	10.34	350.2	12.02
136.4273			
136.4480	10.32	380.8	12.02
136.4481			
136.4689	10.25	390.1	12.02
136.4690			
136.4897	10.25	393.2	12.02
136.4898			
136.5105	10.27	396.7	12.02
136.5106			
136.5314	10.29	401.4	12.02
136.5315			
136.5522	10.32	415.6	12.03
136.5523			
136.5730	10.49	412.1	12.02
136.5731			
136.5939	10.32	388.8	12.02
136.5940			
136.6147	10.32	379.3	12.02
136.6148			
136.6355	10.40	381.6	12.02
136.6356			
136.6564	10.56	406.7	12.03
136.6565			
136.6772	10.45	394.1	12.03
136.6773			
136.6980	10.54	392.3	12.03
136.6981			
136.7189	10.58	372.0	12.03
136.7190			
136.7397	10.70	362.1	12.03
136.7398			
136.7605	10.76	361.0	12.02
136.7606			
136.7814	10.92	373.8	12.03
136.7815			
136.8022	10.83	367.0	12.03
136.8023			
136.8230	10.47	353.8	12.03
136.8231			
136.8439	11.57	391.4	12.02
136.8440			
136.8647	11.84	423.1	12.03
136.8648			
136.8855	11.37	406.6	12.03
136.8856			
136.9064	11.21	375.3	12.03
136.9065			
136.9272	11.32	382.8	12.03
136.9273			
136.9480	11.28	389.7	12.03
136.9481			
136.9689	11.08	392.1	12.03
136.9690			
136.9897	10.87	396.0	12.03
136.9898			
137.0105	10.70	387.8	12.03
137.0106			
137.0314	10.67	392.5	12.02
137.0315			
137.0522	10.70	398.6	12.02
137.0523			
137.0730	10.54	402.0	12.02
137.0731			
137.0939	10.47	400.9	12.02
137.0940			
137.1147	10.45	397.7	12.02
137.1148			
137.1355	10.47	398.8	12.02
137.1356			
137.1564	10.58	404.8	12.02
137.1565			
137.1772	10.83	411.2	12.02
137.1773			
137.1980	10.81	412.5	12.02
137.1981			
137.2189	10.81	413.3	12.02
137.2190			
137.2397	10.61	400.7	12.02
137.2398			
137.2605	10.61	335.6	12.02
137.2606			
137.2814	10.56	274.1	12.02
137.2815			
137.3022	10.54	232.8	12.02
137.3023			
137.3230	10.61	277.6	12.02
137.3231			
137.3439	10.49	335.1	12.02
137.3440			
137.3647	10.45	386.4	12.02
137.3648			
