Year Day	Temperature C	CO2	Battery Voltage
304.6673	9.87		10.60
304.6876	9.91	733.1	11.03
304.7084	9.91	737.8	11.03
304.7293	9.98	741.2	11.02
304.7501	10.00	726.6	11.02
304.7709	10.00	713.3	11.02
304.7918	10.07	703.5	11.02
304.8126	10.09	689.0	11.02
304.8334	10.09	684.5	11.01
304.8543	10.05	674.5	11.01
304.8751	10.07	663.3	11.01
304.8959	10.02	651.4	11.01
304.9168	10.05	640.3	11.01
304.9376	10.07	643.6	11.01
304.9584	10.05	644.6	11.01
304.9793	10.00	641.5	11.00
305.0001	9.96	640.7	11.00
305.0209	10.00	643.2	11.01
305.0418	9.98	643.3	11.01
305.0626	9.98	643.4	11.01
305.0834	10.00	637.5	11.00
305.1043	9.98	637.7	11.00
305.1251	10.00	645.0	11.00
305.1459	10.00	639.9	11.00
305.1668	10.00	655.1	11.00
305.1876	10.14	670.2	11.00
305.2084	10.09	685.1	11.00
305.2293	10.11	672.1	11.00
305.2501	10.09	681.3	11.00
305.2709	10.07	674.6	11.00
305.2918	10.05	677.0	11.00
305.3126	10.09	687.4	11.00
305.3334	10.11	693.3	11.01
305.3543	10.11	693.6	11.00
305.3751	10.09	685.3	11.00
305.3959	10.07	675.5	11.00
305.4168	10.07	678.0	11.00
305.4376	10.09	675.0	11.00
305.4584	10.09	678.7	11.00
305.4793	10.09	687.2	11.00
305.5001	10.11	693.9	11.00
305.5209	10.07	678.2	11.00
305.5418	10.05	672.4	11.00
305.5626	10.09	675.4	11.00
305.5834	10.11	684.2	11.00
305.6043	10.07	681.4	11.00
305.6251	10.14	688.8	11.00
305.6459	10.16	663.3	11.00
305.6668	10.18	671.2	11.00
305.6876	10.34	695.5	11.00
305.7084	10.25	691.5	11.00
305.7293	10.49	696.6	11.00
305.7501	10.40	693.3	11.00
305.7709	10.34	694.7	11.00
305.7918	10.38	699.9	11.00
305.8126	10.36	677.7	11.00
305.8334	10.36	678.0	11.00
305.8543	10.36	678.2	11.00
305.8751	10.32	677.4	11.00
305.8959	10.32	667.6	11.00
305.9168	10.25	668.1	11.00
305.9376	10.25	663.9	11.00
305.9584	10.27	668.9	11.00
305.9793	10.27	667.4	11.00
306.0001	10.27	677.2	11.00
306.0209	10.29	671.6	11.00
306.0418	10.29	685.8	11.00
306.0626	10.27	680.4	11.00
306.0834	10.27	683.9	11.00
306.1043	10.25	677.7	11.00
306.1251	10.23	688.9	11.00
306.1459	10.25	694.8	11.00
306.1668	10.27	657.2	11.00
306.1876	10.27	612.6	11.00
306.2084	10.27	695.1	11.00
306.2293	10.29	717.5	11.00
306.2501	10.34	705.3	11.00
306.2709	10.34	706.4	11.00
306.2918	10.36	638.9	11.00
306.3126	10.34	681.1	11.00
306.3334	10.34	698.5	11.00
306.3543	10.38	721.4	11.00
306.3751	10.36	733.0	11.00
306.3959	10.38	730.8	11.00
306.4168	10.43	689.4	11.00
306.4376	10.38	661.4	11.00
306.4584	10.40	652.0	11.00
306.4793	10.43	649.1	11.00
306.5001	10.47	640.3	11.00
306.5209	10.49	636.0	11.00
306.5418	10.47	631.8	11.00
306.5626	10.72	638.5	11.00
306.5834	10.65	646.4	11.00
306.6043	10.65	647.8	11.00
306.6251	10.61	645.7	11.00
306.6459	10.58	638.8	11.00
306.6668	10.67	648.1	11.00
306.6876	10.63	654.0	11.00
306.7084	10.72	651.2	11.00
