"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/12/01","00:00","0.049","-","0.34"
"2021/12/01","00:06","0.067","-","0.34"
"2021/12/01","00:12","0.087","-","0.3"
"2021/12/01","00:18","0.11","-","0.3"
"2021/12/01","00:24","0.134","-","0.34"
"2021/12/01","00:30","0.161","-","0.34"
"2021/12/01","00:36","0.19","-","0.35"
"2021/12/01","00:42","0.221","-","0.36"
"2021/12/01","00:48","0.254","-","0.38"
"2021/12/01","00:54","0.29","-","0.4"
"2021/12/01","01:00","0.327","-","0.44"
"2021/12/01","01:06","0.366","-","0.45"
"2021/12/01","01:12","0.407","-","0.46"
"2021/12/01","01:18","0.45","-","0.51"
"2021/12/01","01:24","0.495","-","0.55"
"2021/12/01","01:30","0.542","-","0.62"
"2021/12/01","01:36","0.592","-","0.62"
"2021/12/01","01:42","0.642","-","0.69"
"2021/12/01","01:48","0.695","-","0.8"
"2021/12/01","01:54","0.75","-","0.86"
"2021/12/01","02:00","0.806","-","0.91"
"2021/12/01","02:06","0.864","-","0.91"
"2021/12/01","02:12","0.923","-","0.9"
"2021/12/01","02:18","0.984","-","0.93"
"2021/12/01","02:24","1.045","-","0.9"
"2021/12/01","02:30","1.108","-","0.97"
"2021/12/01","02:36","1.172","-","1.14"
"2021/12/01","02:42","1.237","-","1.32"
"2021/12/01","02:48","1.302","-","1.38"
"2021/12/01","02:54","1.367","-","1.5"
"2021/12/01","03:00","1.433","-","1.55"
"2021/12/01","03:06","1.498","-","1.63"
"2021/12/01","03:12","1.563","-","1.7"
"2021/12/01","03:18","1.628","-","1.76"
"2021/12/01","03:24","1.691","-","1.86"
"2021/12/01","03:30","1.754","-","1.88"
"2021/12/01","03:36","1.815","-","1.9"
"2021/12/01","03:42","1.875","-","1.98"
"2021/12/01","03:48","1.933","-","2.03"
"2021/12/01","03:54","1.989","-","2.06"
"2021/12/01","04:00","2.042","-","2.07"
"2021/12/01","04:06","2.092","-","2.13"
"2021/12/01","04:12","2.14","-","2.16"
"2021/12/01","04:18","2.184","-","2.16"
"2021/12/01","04:24","2.225","-","2.21"
"2021/12/01","04:30","2.262","-","2.26"
"2021/12/01","04:36","2.294","-","2.31"
"2021/12/01","04:42","2.322","-","2.33"
"2021/12/01","04:48","2.346","-","2.32"
"2021/12/01","04:54","2.365","-","2.35"
"2021/12/01","05:00","2.379","-","2.36"
"2021/12/01","05:06","2.388","-","2.37"
"2021/12/01","05:12","2.392","-","2.37"
"2021/12/01","05:18","2.391","-","2.38"
"2021/12/01","05:24","2.385","-","2.34"
"2021/12/01","05:30","2.374","-","2.31"
"2021/12/01","05:36","2.358","-","2.3"
"2021/12/01","05:42","2.337","-","2.26"
"2021/12/01","05:48","2.312","-","2.2"
"2021/12/01","05:54","2.282","-","2.17"
"2021/12/01","06:00","2.249","-","2.14"
"2021/12/01","06:06","2.213","-","2.08"
"2021/12/01","06:12","2.173","-","2.01"
"2021/12/01","06:18","2.131","-","1.97"
"2021/12/01","06:24","2.087","-","1.91"
"2021/12/01","06:30","2.041","-","1.87"
"2021/12/01","06:36","1.994","-","1.84"
"2021/12/01","06:42","1.946","-","1.8"
"2021/12/01","06:48","1.898","-","1.73"
"2021/12/01","06:54","1.85","-","1.64"
"2021/12/01","07:00","1.803","-","1.59"
"2021/12/01","07:06","1.757","-","1.53"
"2021/12/01","07:12","1.712","-","1.46"
"2021/12/01","07:18","1.669","-","1.4"
"2021/12/01","07:24","1.627","-","1.35"
"2021/12/01","07:30","1.587","-","1.32"
"2021/12/01","07:36","1.549","-","1.28"
"2021/12/01","07:42","1.513","-","1.25"
"2021/12/01","07:48","1.479","-","1.23"
"2021/12/01","07:54","1.446","-","1.23"
"2021/12/01","08:00","1.414","-","1.24"
"2021/12/01","08:06","1.384","-","1.26"
"2021/12/01","08:12","1.355","-","1.32"
"2021/12/01","08:18","1.326","-","1.33"
"2021/12/01","08:24","1.298","-","1.32"
"2021/12/01","08:30","1.27","-","1.32"
"2021/12/01","08:36","1.241","-","1.29"
"2021/12/01","08:42","1.212","-","1.25"
"2021/12/01","08:48","1.182","-","1.24"
"2021/12/01","08:54","1.15","-","1.21"
"2021/12/01","09:00","1.117","-","1.13"
"2021/12/01","09:06","1.082","-","1.03"
"2021/12/01","09:12","1.046","-","0.99"
"2021/12/01","09:18","1.008","-","0.95"
"2021/12/01","09:24","0.967","-","0.9"
"2021/12/01","09:30","0.925","-","0.86"
"2021/12/01","09:36","0.882","-","0.82"
"2021/12/01","09:42","0.836","-","0.76"
"2021/12/01","09:48","0.789","-","0.7"
"2021/12/01","09:54","0.741","-","0.65"
"2021/12/01","10:00","0.692","-","0.6"
"2021/12/01","10:06","0.643","-","0.58"
"2021/12/01","10:12","0.593","-","0.5"
"2021/12/01","10:18","0.544","-","0.43"
"2021/12/01","10:24","0.494","-","0.39"
"2021/12/01","10:30","0.446","-","0.35"
"2021/12/01","10:36","0.399","-","0.32"
"2021/12/01","10:42","0.353","-","0.25"
"2021/12/01","10:48","0.309","-","0.2"
"2021/12/01","10:54","0.268","-","0.18"
"2021/12/01","11:00","0.228","-","0.11"
"2021/12/01","11:06","0.191","-","0.06"
"2021/12/01","11:12","0.157","-","0.06"
"2021/12/01","11:18","0.125","-","0.07"
"2021/12/01","11:24","0.097","-","0.01"
"2021/12/01","11:30","0.071","-","-0.04"
"2021/12/01","11:36","0.048","-","-0.08"
"2021/12/01","11:42","0.029","-","-0.11"
"2021/12/01","11:48","0.012","-","-0.08"
"2021/12/01","11:54","-0.002","-","-0.12"
"2021/12/01","12:00","-0.013","-","-0.18"
"2021/12/01","12:06","-0.022","-","-0.19"
"2021/12/01","12:12","-0.027","-","-0.16"
"2021/12/01","12:18","-0.031","-","-0.19"
"2021/12/01","12:24","-0.031","-","-0.18"
"2021/12/01","12:30","-0.03","-","-0.19"
"2021/12/01","12:36","-0.026","-","-0.24"
"2021/12/01","12:42","-0.019","-","-0.24"
"2021/12/01","12:48","-0.011","-","-0.24"
"2021/12/01","12:54","0","-","-0.25"
"2021/12/01","13:00","0.013","-","-0.19"
"2021/12/01","13:06","0.028","-","-0.19"
"2021/12/01","13:12","0.045","-","-0.24"
"2021/12/01","13:18","0.065","-","-0.22"
"2021/12/01","13:24","0.087","-","-0.2"
