"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/11/01","00:00","0.299","-","1.47"
"2021/11/01","00:06","0.315","-","1.48"
"2021/11/01","00:12","0.332","-","1.42"
"2021/11/01","00:18","0.351","-","1.44"
"2021/11/01","00:24","0.373","-","1.48"
"2021/11/01","00:30","0.395","-","1.5"
"2021/11/01","00:36","0.42","-","1.54"
"2021/11/01","00:42","0.446","-","1.56"
"2021/11/01","00:48","0.474","-","1.54"
"2021/11/01","00:54","0.504","-","1.54"
"2021/11/01","01:00","0.535","-","1.58"
"2021/11/01","01:06","0.568","-","1.64"
"2021/11/01","01:12","0.603","-","1.63"
"2021/11/01","01:18","0.639","-","1.66"
"2021/11/01","01:24","0.676","-","1.69"
"2021/11/01","01:30","0.715","-","1.7"
"2021/11/01","01:36","0.756","-","1.71"
"2021/11/01","01:42","0.797","-","1.76"
"2021/11/01","01:48","0.84","-","1.8"
"2021/11/01","01:54","0.884","-","1.77"
"2021/11/01","02:00","0.929","-","1.77"
"2021/11/01","02:06","0.974","-","1.8"
"2021/11/01","02:12","1.021","-","1.84"
"2021/11/01","02:18","1.068","-","1.9"
"2021/11/01","02:24","1.116","-","1.97"
"2021/11/01","02:30","1.164","-","2.06"
"2021/11/01","02:36","1.212","-","2.11"
"2021/11/01","02:42","1.261","-","2.17"
"2021/11/01","02:48","1.309","-","2.24"
"2021/11/01","02:54","1.357","-","2.28"
"2021/11/01","03:00","1.405","-","2.33"
"2021/11/01","03:06","1.452","-","2.4"
"2021/11/01","03:12","1.498","-","2.48"
"2021/11/01","03:18","1.543","-","2.54"
"2021/11/01","03:24","1.588","-","2.56"
"2021/11/01","03:30","1.63","-","2.54"
"2021/11/01","03:36","1.671","-","2.56"
"2021/11/01","03:42","1.711","-","2.63"
"2021/11/01","03:48","1.748","-","2.67"
"2021/11/01","03:54","1.783","-","2.68"
"2021/11/01","04:00","1.815","-","2.7"
"2021/11/01","04:06","1.844","-","2.68"
"2021/11/01","04:12","1.87","-","2.67"
"2021/11/01","04:18","1.893","-","2.72"
"2021/11/01","04:24","1.913","-","2.77"
"2021/11/01","04:30","1.929","-","2.74"
"2021/11/01","04:36","1.941","-","2.69"
"2021/11/01","04:42","1.949","-","2.74"
"2021/11/01","04:48","1.953","-","2.76"
"2021/11/01","04:54","1.953","-","2.72"
"2021/11/01","05:00","1.949","-","2.73"
"2021/11/01","05:06","1.941","-","2.76"
"2021/11/01","05:12","1.929","-","2.71"
"2021/11/01","05:18","1.913","-","2.68"
"2021/11/01","05:24","1.893","-","2.7"
"2021/11/01","05:30","1.87","-","2.71"
"2021/11/01","05:36","1.844","-","2.69"
"2021/11/01","05:42","1.815","-","2.65"
"2021/11/01","05:48","1.784","-","2.59"
"2021/11/01","05:54","1.75","-","2.55"
"2021/11/01","06:00","1.715","-","2.54"
