"Plot Title: Carolina June 2021 2",,,,,,
"Date Time, GMT-04:00","High Range, μS/cm (SEN S/N: 20182875)","Temp, °F (SEN S/N: 20182875)","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
06/18/21 09:46:34,0.0,71.62,,,,,
06/18/21 09:46:39,,,Logged,,,,
06/18/21 10:16:34,35561.6,71.40,,,,,
06/18/21 10:46:34,36008.3,71.47,,,,,
06/18/21 11:16:34,35842.6,72.07,,,,,
06/18/21 11:46:34,35885.7,72.37,,,,,
06/18/21 12:16:34,35519.3,72.50,,,,,
06/18/21 12:46:34,34579.9,73.09,,,,,
06/18/21 13:16:34,33771.7,73.06,,,,,
06/18/21 13:46:34,33522.2,73.26,,,,,
06/18/21 14:16:34,32283.4,73.45,,,,,
06/18/21 14:46:34,31372.1,73.87,,,,,
06/18/21 15:16:34,30072.9,73.72,,,,,
06/18/21 15:46:34,28704.4,73.60,,,,,
06/18/21 16:16:34,25575.5,73.69,,,,,
06/18/21 16:46:34,23385.1,73.53,,,,,
06/18/21 17:16:34,36795.2,73.31,,,,,
06/18/21 17:46:34,36182.7,73.36,,,,,
06/18/21 18:16:34,34940.8,73.13,,,,,
06/18/21 18:46:34,33171.9,72.84,,,,,
06/18/21 19:16:34,31276.9,72.50,,,,,
06/18/21 19:46:34,36870.8,72.30,,,,,
06/18/21 20:16:34,36454.9,72.43,,,,,
06/18/21 20:46:34,34559.9,72.23,,,,,
06/18/21 21:16:34,33613.4,71.87,,,,,
06/18/21 21:46:34,33273.5,72.21,,,,,
06/18/21 22:16:34,31899.8,71.11,,,,,
06/18/21 22:46:34,31040.2,70.95,,,,,
06/18/21 23:16:34,30899.5,71.38,,,,,
06/18/21 23:46:34,34707.2,71.02,,,,,
06/19/21 00:16:34,34460.2,70.83,,,,,
06/19/21 00:46:34,34219.9,70.61,,,,,
06/19/21 01:16:34,34292.0,70.72,,,,,
06/19/21 01:46:34,34131.9,70.57,,,,,
06/19/21 02:16:34,36182.7,70.66,,,,,
06/19/21 02:46:34,36329.4,70.74,,,,,
06/19/21 03:16:34,36285.2,70.48,,,,,
06/19/21 03:46:34,36403.1,70.66,,,,,
06/19/21 04:16:34,36659.8,70.99,,,,,
06/19/21 04:46:34,36885.9,71.17,,,,,
06/19/21 05:16:34,36935.3,71.20,,,,,
06/19/21 05:46:34,37007.6,71.17,,,,,
06/19/21 06:16:34,37038.2,71.13,,,,,
06/19/21 06:46:34,37034.3,71.11,,,,,
06/19/21 07:16:34,37080.2,71.08,,,,,
06/19/21 07:46:34,36980.9,70.99,,,,,
06/19/21 08:16:34,36693.6,70.75,,,,,
06/19/21 08:46:34,36648.6,70.95,,,,,
06/19/21 09:16:34,36686.1,71.17,,,,,
06/19/21 09:46:34,36821.6,71.64,,,,,
06/19/21 10:16:34,36749.9,71.82,,,,,
06/19/21 10:46:34,36768.8,72.16,,,,,
06/19/21 11:16:34,36829.1,72.23,,,,,
06/19/21 11:46:34,36889.7,72.63,,,,,
06/19/21 12:16:34,37180.0,72.88,,,,,
06/19/21 12:46:34,37342.4,73.20,,,,,
06/19/21 13:16:34,37455.3,73.63,,,,,
06/19/21 13:46:34,37377.3,73.94,,,,,
06/19/21 14:16:34,37455.3,73.85,,,,,
06/19/21 14:46:34,37600.2,74.35,,,,,
06/19/21 15:16:34,37619.9,74.53,,,,,
06/19/21 15:46:34,37439.7,74.61,,,,,
06/19/21 16:16:34,36829.1,74.12,,,,,
06/19/21 16:46:34,36551.5,74.12,,,,,
06/19/21 17:16:34,36001.0,73.56,,,,,
06/19/21 17:46:34,38017.5,73.42,,,,,
06/19/21 18:16:34,37789.9,73.13,,,,,
06/19/21 18:46:34,37889.4,73.06,,,,,
06/19/21 19:16:34,37829.6,72.90,,,,,
06/19/21 19:46:34,37604.2,72.84,,,,,
06/19/21 20:16:34,37841.6,72.91,,,,,
06/19/21 20:46:34,37451.4,72.63,,,,,
06/19/21 21:16:34,37191.6,72.59,,,,,
06/19/21 21:46:34,37122.4,72.52,,,,,
06/19/21 22:16:34,36656.1,72.19,,,,,
06/19/21 22:46:34,36142.6,71.98,,,,,
06/19/21 23:16:34,36307.3,72.05,,,,,
