"Plot Title: Carolina June 2021"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20200318, SEN S/N: 20200318)","Temp, °F (LGR S/N: 20200318, SEN S/N: 20200318)","Coupler Detached (LGR S/N: 20200318)","Coupler Attached (LGR S/N: 20200318)","Host Connected (LGR S/N: 20200318)","Stopped (LGR S/N: 20200318)","End Of File (LGR S/N: 20200318)"
1,06/18/21 09:45:11 AM,0.0,70.66,,,,,
2,06/18/21 09:45:16 AM,,,Logged,,,,
3,06/18/21 10:15:11 AM,25109.3,70.72,,,,,
4,06/18/21 10:45:11 AM,25021.3,71.17,,,,,
5,06/18/21 11:15:11 AM,24960.1,71.60,,,,,
6,06/18/21 11:45:11 AM,24951.4,72.01,,,,,
7,06/18/21 12:15:11 PM,24843.8,72.25,,,,,
8,06/18/21 12:45:11 PM,24750.8,72.54,,,,,
9,06/18/21 01:15:11 PM,24637.9,72.52,,,,,
10,06/18/21 01:45:11 PM,24448.7,72.90,,,,,
11,06/18/21 02:15:11 PM,24109.2,73.17,,,,,
12,06/18/21 02:45:11 PM,23768.6,73.49,,,,,
13,06/18/21 03:15:11 PM,24890.6,73.36,,,,,
14,06/18/21 03:45:11 PM,24826.5,73.38,,,,,
15,06/18/21 04:15:11 PM,24597.2,73.31,,,,,
16,06/18/21 04:45:11 PM,24711.3,73.17,,,,,
17,06/18/21 05:15:11 PM,24433.6,73.00,,,,,
18,06/18/21 05:45:11 PM,25118.1,73.06,,,,,
19,06/18/21 06:15:11 PM,25026.6,72.84,,,,,
20,06/18/21 06:45:11 PM,25023.1,72.52,,,,,
21,06/18/21 07:15:11 PM,24859.4,72.18,,,,,
22,06/18/21 07:45:11 PM,24689.1,72.01,,,,,
23,06/18/21 08:15:11 PM,24510.9,71.96,,,,,
24,06/18/21 08:45:11 PM,24340.1,72.23,,,,,
25,06/18/21 09:15:11 PM,23928.9,71.20,,,,,
26,06/18/21 09:45:11 PM,23879.0,71.69,,,,,
27,06/18/21 10:15:11 PM,23621.2,71.51,,,,,
28,06/18/21 10:45:11 PM,23369.8,70.59,,,,,
