"Plot Title: Carolina June 2021 2"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20182875, SEN S/N: 20182875)","Temp, °F (LGR S/N: 20182875, SEN S/N: 20182875)","Coupler Detached (LGR S/N: 20182875)","Coupler Attached (LGR S/N: 20182875)","Host Connected (LGR S/N: 20182875)","Stopped (LGR S/N: 20182875)","End Of File (LGR S/N: 20182875)"
1,06/18/21 09:46:34 AM,0.0,71.62,,,,,
2,06/18/21 09:46:39 AM,,,Logged,,,,
3,06/18/21 10:16:34 AM,35561.6,71.40,,,,,
4,06/18/21 10:46:34 AM,36008.3,71.47,,,,,
5,06/18/21 11:16:34 AM,35842.6,72.07,,,,,
6,06/18/21 11:46:34 AM,35885.7,72.37,,,,,
7,06/18/21 12:16:34 PM,35519.3,72.50,,,,,
8,06/18/21 12:46:34 PM,34579.9,73.09,,,,,
9,06/18/21 01:16:34 PM,33771.7,73.06,,,,,
10,06/18/21 01:46:34 PM,33522.2,73.26,,,,,
11,06/18/21 02:16:34 PM,32283.4,73.45,,,,,
12,06/18/21 02:46:34 PM,31372.1,73.87,,,,,
13,06/18/21 03:16:34 PM,30072.9,73.72,,,,,
14,06/18/21 03:46:34 PM,28704.4,73.60,,,,,
15,06/18/21 04:16:34 PM,25575.5,73.69,,,,,
16,06/18/21 04:46:34 PM,23385.1,73.53,,,,,
17,06/18/21 05:16:34 PM,36795.2,73.31,,,,,
18,06/18/21 05:46:34 PM,36182.7,73.36,,,,,
19,06/18/21 06:16:34 PM,34940.8,73.13,,,,,
20,06/18/21 06:46:34 PM,33171.9,72.84,,,,,
21,06/18/21 07:16:34 PM,31276.9,72.50,,,,,
22,06/18/21 07:46:34 PM,36870.8,72.30,,,,,
23,06/18/21 08:16:34 PM,36454.9,72.43,,,,,
24,06/18/21 08:46:34 PM,34559.9,72.23,,,,,
25,06/18/21 09:16:34 PM,33613.4,71.87,,,,,
26,06/18/21 09:46:34 PM,33273.5,72.21,,,,,
27,06/18/21 10:16:34 PM,31899.8,71.11,,,,,
28,06/18/21 10:46:34 PM,31040.2,70.95,,,,,
29,06/18/21 11:16:34 PM,30899.5,71.38,,,,,
30,06/18/21 11:46:34 PM,34707.2,71.02,,,,,
31,06/19/21 12:16:34 AM,34460.2,70.83,,,,,
32,06/19/21 12:46:34 AM,34219.9,70.61,,,,,
33,06/19/21 01:16:34 AM,34292.0,70.72,,,,,
34,06/19/21 01:46:34 AM,34131.9,70.57,,,,,
35,06/19/21 02:16:34 AM,36182.7,70.66,,,,,
36,06/19/21 02:46:34 AM,36329.4,70.74,,,,,
37,06/19/21 03:16:34 AM,36285.2,70.48,,,,,
38,06/19/21 03:46:34 AM,36403.1,70.66,,,,,
39,06/19/21 04:16:34 AM,36659.8,70.99,,,,,
40,06/19/21 04:46:34 AM,36885.9,71.17,,,,,
41,06/19/21 05:16:34 AM,36935.3,71.20,,,,,
42,06/19/21 05:46:34 AM,37007.6,71.17,,,,,
43,06/19/21 06:16:34 AM,37038.2,71.13,,,,,
44,06/19/21 06:46:34 AM,37034.3,71.11,,,,,
45,06/19/21 07:16:34 AM,37080.2,71.08,,,,,
46,06/19/21 07:46:34 AM,36980.9,70.99,,,,,
47,06/19/21 08:16:34 AM,36693.6,70.75,,,,,
48,06/19/21 08:46:34 AM,36648.6,70.95,,,,,
49,06/19/21 09:16:34 AM,36686.1,71.17,,,,,
50,06/19/21 09:46:34 AM,36821.6,71.64,,,,,
51,06/19/21 10:16:34 AM,36749.9,71.82,,,,,
52,06/19/21 10:46:34 AM,36768.8,72.16,,,,,
53,06/19/21 11:16:34 AM,36829.1,72.23,,,,,
54,06/19/21 11:46:34 AM,36889.7,72.63,,,,,
55,06/19/21 12:16:34 PM,37180.0,72.88,,,,,
56,06/19/21 12:46:34 PM,37342.4,73.20,,,,,
