"Plot Title: Carolina No 1 May 2022"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20200318, SEN S/N: 20200318)","Temp, °F (LGR S/N: 20200318, SEN S/N: 20200318)","Coupler Detached (LGR S/N: 20200318)","Coupler Attached (LGR S/N: 20200318)","Host Connected (LGR S/N: 20200318)","Stopped (LGR S/N: 20200318)","End Of File (LGR S/N: 20200318)"
1,05/17/22 12:06:18 PM,0.0,74.21,,,,,
2,05/17/22 12:06:23 PM,,,Logged,,,,
3,05/17/22 12:36:18 PM,25658.8,63.66,,,,,
4,05/17/22 01:06:18 PM,24485.6,64.45,,,,,
5,05/17/22 01:36:18 PM,23970.9,65.86,,,,,
6,05/17/22 02:06:18 PM,23676.5,66.43,,,,,
7,05/17/22 02:36:18 PM,23561.4,66.78,,,,,
8,05/17/22 03:06:18 PM,23591.3,66.60,,,,,
9,05/17/22 03:36:18 PM,23792.5,65.57,,,,,
10,05/17/22 04:06:18 PM,23990.3,64.74,,,,,
11,05/17/22 04:36:18 PM,24008.2,64.74,,,,,
12,05/17/22 05:06:18 PM,24145.2,63.37,,,,,
13,05/17/22 05:36:18 PM,24179.7,63.01,,,,,
14,05/17/22 06:06:18 PM,24222.5,62.89,,,,,
15,05/17/22 06:36:18 PM,24163.2,63.09,,,,,
16,05/17/22 07:06:18 PM,24146.8,62.89,,,,,
17,05/17/22 07:36:18 PM,24220.8,62.17,,,,,
18,05/17/22 08:06:18 PM,24209.3,61.72,,,,,
19,05/17/22 08:36:18 PM,24214.2,60.60,,,,,
20,05/17/22 09:06:18 PM,24199.4,59.59,,,,,
21,05/17/22 09:36:18 PM,24189.5,59.50,,,,,
22,05/17/22 10:06:18 PM,24168.2,59.63,,,,,
23,05/17/22 10:36:18 PM,24128.8,59.76,,,,,
24,05/17/22 11:06:18 PM,24115.7,60.13,,,,,
25,05/17/22 11:36:18 PM,24079.8,60.44,,,,,
26,05/18/22 12:06:18 AM,24000.1,60.66,,,,,
27,05/18/22 12:36:18 AM,23795.7,61.11,,,,,
28,05/18/22 01:06:18 AM,23533.2,61.29,,,,,
29,05/18/22 01:36:18 AM,23334.3,61.36,,,,,
30,05/18/22 02:06:18 AM,23062.4,61.43,,,,,
31,05/18/22 02:36:18 AM,22794.3,61.38,,,,,
32,05/18/22 03:06:18 AM,22699.7,61.27,,,,,
33,05/18/22 03:36:18 AM,22752.8,61.29,,,,,
34,05/18/22 04:06:18 AM,22741.0,61.21,,,,,
35,05/18/22 04:36:18 AM,22880.6,61.23,,,,,
36,05/18/22 05:06:18 AM,23009.6,61.27,,,,,
37,05/18/22 05:36:18 AM,23103.3,61.25,,,,,
38,05/18/22 06:06:18 AM,23277.3,61.16,,,,,
39,05/18/22 06:36:18 AM,23408.5,61.09,,,,,
40,05/18/22 07:06:18 AM,23882.2,60.57,,,,,
41,05/18/22 07:36:18 AM,23711.3,60.04,,,,,
42,05/18/22 08:06:18 AM,23533.2,59.99,,,,,
43,05/18/22 08:36:18 AM,24050.4,60.12,,,,,
44,05/18/22 09:06:18 AM,24220.8,60.04,,,,,
45,05/18/22 09:36:18 AM,24184.6,60.01,,,,,
46,05/18/22 10:06:18 AM,24212.6,60.06,,,,,
47,05/18/22 10:36:18 AM,24184.6,59.95,,,,,
48,05/18/22 11:06:18 AM,24143.6,60.87,,,,,
49,05/18/22 11:36:18 AM,24087.9,61.14,,,,,
50,05/18/22 12:06:18 PM,23975.8,61.92,,,,,
51,05/18/22 12:36:18 PM,23838.9,62.56,,,,,
52,05/18/22 01:06:18 PM,23614.9,63.46,,,,,
53,05/18/22 01:36:18 PM,23441.2,64.33,,,,,
54,05/18/22 02:06:18 PM,23036.7,65.57,,,,,
55,05/18/22 02:36:18 PM,22751.4,66.07,,,,,
56,05/18/22 03:06:18 PM,22455.8,66.72,,,,,
57,05/18/22 03:36:18 PM,22597.0,66.56,,,,,
58,05/18/22 04:06:18 PM,23047.3,65.95,,,,,
59,05/18/22 04:36:18 PM,23383.7,65.23,,,,,
60,05/18/22 05:06:18 PM,23651.2,64.20,,,,,
61,05/18/22 05:36:18 PM,23829.3,63.73,,,,,
62,05/18/22 06:06:18 PM,23861.3,64.06,,,,,
63,05/18/22 06:36:18 PM,23899.9,63.59,,,,,
64,05/18/22 07:06:18 PM,24000.1,63.16,,,,,
65,05/18/22 07:36:18 PM,24047.2,62.64,,,,,
66,05/18/22 08:06:18 PM,24004.9,62.53,,,,,
67,05/18/22 08:36:18 PM,23982.2,61.93,,,,,
68,05/18/22 09:06:18 PM,23961.2,60.96,,,,,
69,05/18/22 09:36:18 PM,23980.6,60.33,,,,,
70,05/18/22 10:06:18 PM,23990.3,60.10,,,,,
71,05/18/22 10:36:18 PM,24011.4,59.95,,,,,
72,05/18/22 11:06:18 PM,23998.5,60.01,,,,,
73,05/18/22 11:36:18 PM,23987.1,60.06,,,,,
74,05/19/22 12:06:18 AM,23961.2,60.37,,,,,
75,05/19/22 12:36:18 AM,23893.5,60.69,,,,,
76,05/19/22 01:06:18 AM,23663.8,61.00,,,,,
77,05/19/22 01:36:18 AM,23492.6,61.30,,,,,
78,05/19/22 02:06:18 AM,23376.0,61.47,,,,,
79,05/19/22 02:36:18 AM,23199.2,61.63,,,,,
80,05/19/22 03:06:18 AM,22988.5,61.75,,,,,
81,05/19/22 03:36:18 AM,22786.9,61.77,,,,,
82,05/19/22 04:06:18 AM,22744.0,61.74,,,,,
83,05/19/22 04:36:18 AM,22755.8,61.74,,,,,
84,05/19/22 05:06:18 AM,22710.0,61.72,,,,,
85,05/19/22 05:36:18 AM,22795.8,61.61,,,,,
86,05/19/22 06:06:18 AM,23035.2,61.59,,,,,
87,05/19/22 06:36:18 AM,23190.0,61.50,,,,,
88,05/19/22 07:06:18 AM,23177.8,61.54,,,,,
89,05/19/22 07:36:18 AM,23625.9,61.12,,,,,
90,05/19/22 08:06:18 AM,23909.6,60.44,,,,,
91,05/19/22 08:36:18 AM,23845.3,60.12,,,,,
92,05/19/22 09:06:18 AM,24083.0,59.72,,,,,
93,05/19/22 09:36:18 AM,24081.4,59.74,,,,,
94,05/19/22 10:06:18 AM,24114.1,59.72,,,,,
95,05/19/22 10:36:18 AM,24181.3,59.59,,,,,
96,05/19/22 11:06:18 AM,24163.2,59.63,,,,,
97,05/19/22 11:36:18 AM,24105.9,59.74,,,,,
98,05/19/22 12:06:18 PM,24078.1,59.83,,,,,
99,05/19/22 12:36:18 PM,24079.8,59.81,,,,,
100,05/19/22 01:06:18 PM,23964.4,59.99,,,,,
101,05/19/22 01:36:18 PM,23693.9,60.24,,,,,
102,05/19/22 02:06:18 PM,23428.7,60.40,,,,,
103,05/19/22 02:36:18 PM,23245.1,60.57,,,,,
104,05/19/22 03:06:18 PM,23033.7,60.73,,,,,
105,05/19/22 03:36:18 PM,22746.9,60.78,,,,,
106,05/19/22 04:06:18 PM,22791.3,60.85,,,,,
107,05/19/22 04:36:18 PM,22715.9,60.87,,,,,
108,05/19/22 05:06:18 PM,23050.3,60.76,,,,,
109,05/19/22 05:36:18 PM,23196.1,60.66,,,,,
110,05/19/22 06:06:18 PM,23368.3,60.57,,,,,
111,05/19/22 06:36:18 PM,23547.3,60.33,,,,,
112,05/19/22 07:06:18 PM,23725.6,60.19,,,,,
113,05/19/22 07:36:18 PM,23822.9,60.08,,,,,
114,05/19/22 08:06:18 PM,23880.6,59.88,,,,,
115,05/19/22 08:36:18 PM,23958.0,59.70,,,,,
116,05/19/22 09:06:18 PM,23869.4,59.68,,,,,
117,05/19/22 09:36:18 PM,23932.1,59.50,,,,,
118,05/19/22 10:06:18 PM,23919.2,59.41,,,,,
119,05/19/22 10:36:18 PM,24104.3,59.27,,,,,
120,05/19/22 11:06:18 PM,24120.6,59.11,,,,,
121,05/19/22 11:36:18 PM,24110.8,59.05,,,,,
122,05/20/22 12:06:18 AM,24074.9,59.07,,,,,
123,05/20/22 12:36:18 AM,24065.1,59.11,,,,,
124,05/20/22 01:06:18 AM,23993.6,59.20,,,,,
125,05/20/22 01:36:18 AM,23835.7,59.20,,,,,
126,05/20/22 02:06:18 AM,23610.2,59.20,,,,,
127,05/20/22 02:36:18 AM,23441.2,59.18,,,,,
128,05/20/22 03:06:18 AM,23168.7,59.09,,,,,
129,05/20/22 03:36:18 AM,23051.8,59.07,,,,,
130,05/20/22 04:06:18 AM,22815.1,58.96,,,,,
131,05/20/22 04:36:18 AM,22749.9,58.89,,,,,
132,05/20/22 05:06:18 AM,22788.4,58.91,,,,,
133,05/20/22 05:36:18 AM,22870.2,58.93,,,,,
134,05/20/22 06:06:18 AM,22981.0,58.95,,,,,
135,05/20/22 06:36:18 AM,22882.1,58.86,,,,,
136,05/20/22 07:06:18 AM,22594.1,58.66,,,,,
137,05/20/22 07:36:18 AM,22424.0,58.57,,,,,
138,05/20/22 08:06:18 AM,23226.7,58.95,,,,,
139,05/20/22 08:36:18 AM,23614.9,59.05,,,,,
140,05/20/22 09:06:18 AM,24073.2,59.02,,,,,
141,05/20/22 09:36:18 AM,23719.3,58.86,,,,,
142,05/20/22 10:06:18 AM,24008.2,59.02,,,,,
143,05/20/22 10:36:18 AM,24173.1,59.14,,,,,
144,05/20/22 11:06:18 AM,24232.4,59.27,,,,,
145,05/20/22 11:36:18 AM,24278.7,59.43,,,,,
146,05/20/22 12:06:18 PM,24313.5,59.58,,,,,
147,05/20/22 12:36:18 PM,24282.0,59.88,,,,,
148,05/20/22 01:06:18 PM,24207.6,60.39,,,,,
149,05/20/22 01:36:18 PM,24127.2,60.98,,,,,
150,05/20/22 02:06:18 PM,24035.8,61.93,,,,,
151,05/20/22 02:36:18 PM,23909.6,62.46,,,,,
152,05/20/22 03:06:18 PM,23692.3,63.41,,,,,
153,05/20/22 03:36:18 PM,23555.2,64.20,,,,,
154,05/20/22 04:06:18 PM,23481.6,64.35,,,,,
155,05/20/22 04:36:18 PM,23349.7,65.03,,,,,
156,05/20/22 05:06:18 PM,23433.4,64.65,,,,,
157,05/20/22 05:36:18 PM,23097.2,65.43,,,,,
158,05/20/22 06:06:18 PM,23071.5,65.61,,,,,
159,05/20/22 06:36:18 PM,23681.2,63.82,,,,,
160,05/20/22 07:06:18 PM,23662.2,63.48,,,,,
161,05/20/22 07:36:18 PM,23904.7,62.46,,,,,
162,05/20/22 08:06:18 PM,23970.9,62.46,,,,,
163,05/20/22 08:36:18 PM,23967.7,62.02,,,,,
164,05/20/22 09:06:18 PM,24074.9,61.81,,,,,
165,05/20/22 09:36:18 PM,24145.2,61.50,,,,,
166,05/20/22 10:06:18 PM,24092.8,61.54,,,,,
167,05/20/22 10:36:18 PM,23928.9,60.98,,,,,
168,05/20/22 11:06:18 PM,24030.9,60.60,,,,,
169,05/20/22 11:36:18 PM,24128.8,59.97,,,,,
170,05/21/22 12:06:18 AM,24133.7,59.72,,,,,
171,05/21/22 12:36:18 AM,24171.4,59.61,,,,,
172,05/21/22 01:06:18 AM,24156.7,59.74,,,,,
173,05/21/22 01:36:18 AM,24119.0,59.79,,,,,
174,05/21/22 02:06:18 AM,24101.0,59.85,,,,,
175,05/21/22 02:36:18 AM,23935.4,60.28,,,,,
176,05/21/22 03:06:18 AM,23752.7,60.60,,,,,
177,05/21/22 03:36:18 AM,23588.1,60.84,,,,,
178,05/21/22 04:06:18 AM,23369.8,61.03,,,,,
179,05/21/22 04:36:18 AM,23062.4,61.23,,,,,
180,05/21/22 05:06:18 AM,23005.0,61.27,,,,,
181,05/21/22 05:36:18 AM,23012.6,61.23,,,,,
182,05/21/22 06:06:18 AM,23095.7,61.16,,,,,
183,05/21/22 06:36:18 AM,23026.1,61.21,,,,,
184,05/21/22 07:06:18 AM,22964.4,61.29,,,,,
185,05/21/22 07:36:18 AM,22900.0,61.36,,,,,
186,05/21/22 08:06:18 AM,23252.7,61.12,,,,,
187,05/21/22 08:36:18 AM,23365.2,61.00,,,,,
188,05/21/22 09:06:18 AM,23434.9,60.98,,,,,
189,05/21/22 09:36:18 AM,23469.2,60.94,,,,,
190,05/21/22 10:06:18 AM,23983.9,60.13,,,,,
191,05/21/22 10:36:18 AM,23930.5,60.44,,,,,
192,05/21/22 11:06:18 AM,23954.7,60.73,,,,,
193,05/21/22 11:36:18 AM,24137.0,60.57,,,,,
194,05/21/22 12:06:18 PM,24117.3,60.94,,,,,
195,05/21/22 12:36:18 PM,24161.6,60.89,,,,,
196,05/21/22 01:06:18 PM,24275.4,61.66,,,,,
197,05/21/22 01:36:18 PM,24169.8,60.87,,,,,
198,05/21/22 02:06:18 PM,24155.0,62.20,,,,,
199,05/21/22 02:36:18 PM,24119.0,62.37,,,,,
200,05/21/22 03:06:18 PM,24060.2,62.98,,,,,
201,05/21/22 03:36:18 PM,24034.2,63.36,,,,,
202,05/21/22 04:06:18 PM,23975.8,64.02,,,,,
203,05/21/22 04:36:18 PM,23569.3,66.13,,,,,
204,05/21/22 05:06:18 PM,23360.5,67.10,,,,,
205,05/21/22 05:36:18 PM,23368.3,67.33,,,,,
206,05/21/22 06:06:18 PM,23281.9,67.86,,,,,
