"Plot Title: Carolina No 2 June_2_2022"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20182877, SEN S/N: 20182877)","Temp, °F (LGR S/N: 20182877, SEN S/N: 20182877)","Coupler Detached (LGR S/N: 20182877)","Coupler Attached (LGR S/N: 20182877)","Host Connected (LGR S/N: 20182877)","Stopped (LGR S/N: 20182877)","End Of File (LGR S/N: 20182877)"
1,06/02/22 02:00:00 PM,355.5,69.10,Logged,,,,
2,06/02/22 02:30:00 PM,281.8,71.65,,,,,
3,06/02/22 03:00:00 PM,219.7,73.22,,,,,
4,06/02/22 03:30:00 PM,215.8,73.76,,,,,
5,06/02/22 04:00:00 PM,216.6,74.41,,,,,
6,06/02/22 04:30:00 PM,183.8,74.46,,,,,
7,06/02/22 05:00:00 PM,154.4,73.78,,,,,
8,06/02/22 05:30:00 PM,0.0,73.09,,,,,
9,06/02/22 06:00:00 PM,0.0,72.73,,,,,
10,06/02/22 06:30:00 PM,0.0,71.82,,,,,
11,06/02/22 07:00:00 PM,0.0,71.94,,,,,
12,06/02/22 07:30:00 PM,0.0,71.96,,,,,
13,06/02/22 08:00:00 PM,0.0,71.91,,,,,
14,06/02/22 08:30:00 PM,0.0,71.82,,,,,
15,06/02/22 09:00:00 PM,0.0,71.74,,,,,
16,06/02/22 09:30:00 PM,0.0,71.55,,,,,
17,06/02/22 10:00:00 PM,0.0,71.08,,,,,
18,06/02/22 10:30:00 PM,0.0,70.70,,,,,
19,06/02/22 11:00:00 PM,0.0,70.39,,,,,
20,06/02/22 11:30:00 PM,0.0,70.12,,,,,
21,06/03/22 12:00:00 AM,0.0,69.87,,,,,
22,06/03/22 12:30:00 AM,0.0,69.67,,,,,
23,06/03/22 01:00:00 AM,0.0,69.46,,,,,
24,06/03/22 01:30:00 AM,0.0,69.26,,,,,
25,06/03/22 02:00:00 AM,0.0,69.44,,,,,
26,06/03/22 02:30:00 AM,0.0,69.78,,,,,
27,06/03/22 03:00:00 AM,0.0,70.00,,,,,
28,06/03/22 03:30:00 AM,0.0,70.18,,,,,
29,06/03/22 04:00:00 AM,0.0,70.29,,,,,
30,06/03/22 04:30:00 AM,0.0,70.34,,,,,
31,06/03/22 05:00:00 AM,0.0,70.39,,,,,
32,06/03/22 05:30:00 AM,0.0,70.43,,,,,
33,06/03/22 06:00:00 AM,0.0,70.45,,,,,
34,06/03/22 06:30:00 AM,0.0,70.48,,,,,
35,06/03/22 07:00:00 AM,0.0,70.52,,,,,
36,06/03/22 07:30:00 AM,0.0,70.54,,,,,
37,06/03/22 08:00:00 AM,0.0,70.56,,,,,
38,06/03/22 08:30:00 AM,0.0,70.59,,,,,
39,06/03/22 09:00:00 AM,0.0,70.61,,,,,
40,06/03/22 09:30:00 AM,0.0,70.65,,,,,
41,06/03/22 10:00:00 AM,0.0,70.66,,,,,
42,06/03/22 10:30:00 AM,0.0,70.68,,,,,
43,06/03/22 11:00:00 AM,0.0,70.70,,,,,
44,06/03/22 11:30:00 AM,0.0,70.74,,,,,
45,06/03/22 12:00:00 PM,0.0,70.77,,,,,
46,06/03/22 12:30:00 PM,0.0,70.83,,,,,
47,06/03/22 01:00:00 PM,0.0,70.88,,,,,
48,06/03/22 01:30:00 PM,0.0,70.93,,,,,
49,06/03/22 02:00:00 PM,0.0,70.97,,,,,
50,06/03/22 02:30:00 PM,0.0,71.04,,,,,
51,06/03/22 03:00:00 PM,0.0,71.13,,,,,
52,06/03/22 03:30:00 PM,0.0,71.20,,,,,
53,06/03/22 04:00:00 PM,0.0,71.29,,,,,
54,06/03/22 04:30:00 PM,0.0,71.33,,,,,
55,06/03/22 05:00:00 PM,0.0,71.40,,,,,
56,06/03/22 05:30:00 PM,0.0,71.44,,,,,
57,06/03/22 06:00:00 PM,0.0,71.44,,,,,
58,06/03/22 06:30:00 PM,0.0,71.44,,,,,
59,06/03/22 07:00:00 PM,0.0,71.42,,,,,
60,06/03/22 07:30:00 PM,0.0,71.42,,,,,
61,06/03/22 08:00:00 PM,0.0,71.42,,,,,
62,06/03/22 08:30:00 PM,0.0,71.42,,,,,
63,06/03/22 09:00:00 PM,0.0,71.42,,,,,
64,06/03/22 09:30:00 PM,0.0,71.29,,,,,
65,06/03/22 10:00:00 PM,0.0,70.97,,,,,
66,06/03/22 10:30:00 PM,0.0,70.66,,,,,
67,06/03/22 11:00:00 PM,0.0,70.41,,,,,
68,06/03/22 11:30:00 PM,0.0,70.18,,,,,
69,06/04/22 12:00:00 AM,0.0,69.94,,,,,
70,06/04/22 12:30:00 AM,0.0,69.73,,,,,
71,06/04/22 01:00:00 AM,0.0,69.55,,,,,
72,06/04/22 01:30:00 AM,0.0,69.35,,,,,
73,06/04/22 02:00:00 AM,0.0,69.42,,,,,
74,06/04/22 02:30:00 AM,0.0,69.73,,,,,
75,06/04/22 03:00:00 AM,0.0,69.96,,,,,
76,06/04/22 03:30:00 AM,0.0,70.11,,,,,
77,06/04/22 04:00:00 AM,0.0,70.20,,,,,
78,06/04/22 04:30:00 AM,0.0,70.27,,,,,
79,06/04/22 05:00:00 AM,0.0,70.30,,,,,
80,06/04/22 05:30:00 AM,0.0,70.34,,,,,
81,06/04/22 06:00:00 AM,0.0,70.36,,,,,
82,06/04/22 06:30:00 AM,0.0,70.39,,,,,
83,06/04/22 07:00:00 AM,0.0,70.41,,,,,
84,06/04/22 07:30:00 AM,0.0,70.45,,,,,
85,06/04/22 08:00:00 AM,0.0,70.48,,,,,
86,06/04/22 08:30:00 AM,0.0,70.54,,,,,
87,06/04/22 09:00:00 AM,0.0,70.59,,,,,
88,06/04/22 09:30:00 AM,0.0,70.65,,,,,
89,06/04/22 10:00:00 AM,0.0,70.68,,,,,
90,06/04/22 10:30:00 AM,0.0,70.74,,,,,
91,06/04/22 11:00:00 AM,0.0,70.81,,,,,
92,06/04/22 11:30:00 AM,0.0,70.84,,,,,
93,06/04/22 12:00:00 PM,0.0,70.90,,,,,
94,06/04/22 12:30:00 PM,0.0,70.93,,,,,
95,06/04/22 01:00:00 PM,0.0,71.01,,,,,
96,06/04/22 01:30:00 PM,0.0,71.06,,,,,
97,06/04/22 02:00:00 PM,0.0,71.13,,,,,
98,06/04/22 02:30:00 PM,0.0,71.19,,,,,
99,06/04/22 03:00:00 PM,0.0,71.26,,,,,
100,06/04/22 03:30:00 PM,0.0,71.33,,,,,
101,06/04/22 04:00:00 PM,0.0,71.40,,,,,
102,06/04/22 04:30:00 PM,0.0,71.46,,,,,
103,06/04/22 05:00:00 PM,0.0,71.53,,,,,
104,06/04/22 05:30:00 PM,0.0,71.56,,,,,
105,06/04/22 06:00:00 PM,0.0,71.55,,,,,
106,06/04/22 06:30:00 PM,0.0,71.51,,,,,
107,06/04/22 07:00:00 PM,0.0,71.53,,,,,
108,06/04/22 07:30:00 PM,0.0,71.51,,,,,
109,06/04/22 08:00:00 PM,0.0,71.47,,,,,
110,06/04/22 08:30:00 PM,0.0,71.51,,,,,
111,06/04/22 09:00:00 PM,0.0,71.53,,,,,
112,06/04/22 09:30:00 PM,0.0,71.35,,,,,
113,06/04/22 10:00:00 PM,0.0,71.08,,,,,
114,06/04/22 10:30:00 PM,0.0,70.83,,,,,
115,06/04/22 11:00:00 PM,0.0,70.65,,,,,
116,06/04/22 11:30:00 PM,0.0,70.43,,,,,
117,06/05/22 12:00:00 AM,0.0,70.09,,,,,
118,06/05/22 12:30:00 AM,0.0,69.80,,,,,
119,06/05/22 01:00:00 AM,0.0,69.57,,,,,
120,06/05/22 01:30:00 AM,0.0,69.35,,,,,
121,06/05/22 02:00:00 AM,0.0,69.39,,,,,
122,06/05/22 02:30:00 AM,0.0,69.67,,,,,
123,06/05/22 03:00:00 AM,0.0,69.87,,,,,
124,06/05/22 03:30:00 AM,0.0,69.98,,,,,
125,06/05/22 04:00:00 AM,0.0,70.07,,,,,
126,06/05/22 04:30:00 AM,0.0,70.11,,,,,
127,06/05/22 05:00:00 AM,0.0,70.18,,,,,
128,06/05/22 05:30:00 AM,0.0,70.21,,,,,
129,06/05/22 06:00:00 AM,0.0,70.27,,,,,
130,06/05/22 06:30:00 AM,0.0,70.30,,,,,
131,06/05/22 07:00:00 AM,0.0,70.34,,,,,
132,06/05/22 07:30:00 AM,0.0,70.39,,,,,
133,06/05/22 08:00:00 AM,0.0,70.43,,,,,
134,06/05/22 08:30:00 AM,0.0,70.47,,,,,
135,06/05/22 09:00:00 AM,0.0,70.52,,,,,
136,06/05/22 09:30:00 AM,0.0,70.56,,,,,
137,06/05/22 10:00:00 AM,0.0,70.61,,,,,
138,06/05/22 10:30:00 AM,0.0,70.65,,,,,
139,06/05/22 11:00:00 AM,0.0,70.72,,,,,
140,06/05/22 11:30:00 AM,0.0,70.70,,,,,
141,06/05/22 12:00:00 PM,0.0,70.77,,,,,
142,06/05/22 12:30:00 PM,0.0,70.81,,,,,
143,06/05/22 01:00:00 PM,0.0,70.84,,,,,
144,06/05/22 01:30:00 PM,0.0,70.92,,,,,
145,06/05/22 02:00:00 PM,0.0,70.97,,,,,
146,06/05/22 02:30:00 PM,0.0,71.06,,,,,
147,06/05/22 03:00:00 PM,0.0,71.10,,,,,
148,06/05/22 03:30:00 PM,0.0,71.19,,,,,
149,06/05/22 04:00:00 PM,0.0,71.29,,,,,
150,06/05/22 04:30:00 PM,0.0,71.35,,,,,
151,06/05/22 05:00:00 PM,0.0,71.40,,,,,
152,06/05/22 05:30:00 PM,0.0,71.44,,,,,
153,06/05/22 06:00:00 PM,0.0,71.46,,,,,
154,06/05/22 06:30:00 PM,0.0,71.42,,,,,
155,06/05/22 07:00:00 PM,0.0,71.42,,,,,
156,06/05/22 07:30:00 PM,0.0,71.40,,,,,
157,06/05/22 08:00:00 PM,0.0,71.42,,,,,
158,06/05/22 08:30:00 PM,0.0,71.38,,,,,
159,06/05/22 09:00:00 PM,0.0,71.40,,,,,
160,06/05/22 09:30:00 PM,0.0,71.29,,,,,
161,06/05/22 10:00:00 PM,0.0,71.04,,,,,
162,06/05/22 10:30:00 PM,0.0,70.84,,,,,
163,06/05/22 11:00:00 PM,0.0,70.66,,,,,
164,06/05/22 11:30:00 PM,0.0,70.45,,,,,
165,06/06/22 12:00:00 AM,0.0,70.23,,,,,
166,06/06/22 12:30:00 AM,0.0,70.03,,,,,
167,06/06/22 01:00:00 AM,0.0,69.84,,,,,
168,06/06/22 01:30:00 AM,0.0,69.66,,,,,
169,06/06/22 02:00:00 AM,0.0,69.62,,,,,
170,06/06/22 02:30:00 AM,0.0,69.93,,,,,
171,06/06/22 03:00:00 AM,0.0,70.16,,,,,
172,06/06/22 03:30:00 AM,0.0,70.32,,,,,
173,06/06/22 04:00:00 AM,0.0,70.41,,,,,
174,06/06/22 04:30:00 AM,0.0,70.52,,,,,
175,06/06/22 05:00:00 AM,0.0,70.57,,,,,
176,06/06/22 05:30:00 AM,0.0,70.65,,,,,
