"Plot Title: Carolina September 2021"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20200318, SEN S/N: 20200318)","Temp, °F (LGR S/N: 20200318, SEN S/N: 20200318)","Coupler Detached (LGR S/N: 20200318)","Coupler Attached (LGR S/N: 20200318)","Host Connected (LGR S/N: 20200318)","Stopped (LGR S/N: 20200318)","End Of File (LGR S/N: 20200318)"
1,09/28/21 09:36:39 AM,0.0,73.92,,,,,
2,09/28/21 09:36:45 AM,,,Logged,,,,
3,09/28/21 10:06:39 AM,23924.1,71.29,,,,,
4,09/28/21 10:36:39 AM,23922.5,71.24,,,,,
5,09/28/21 11:06:39 AM,23899.9,71.24,,,,,
6,09/28/21 11:36:39 AM,23967.7,71.44,,,,,
7,09/28/21 12:06:39 PM,23998.5,71.64,,,,,
8,09/28/21 12:36:39 PM,23938.6,71.76,,,,,
9,09/28/21 01:06:39 PM,23987.1,71.87,,,,,
10,09/28/21 01:36:39 PM,24006.6,71.89,,,,,
11,09/28/21 02:06:39 PM,24004.9,71.87,,,,,
12,09/28/21 02:36:39 PM,24014.7,71.74,,,,,
13,09/28/21 03:06:39 PM,23956.4,71.71,,,,,
14,09/28/21 03:36:39 PM,23996.8,71.71,,,,,
15,09/28/21 04:06:39 PM,23992.0,71.67,,,,,
16,09/28/21 04:36:39 PM,23990.3,71.73,,,,,
17,09/28/21 05:06:39 PM,24003.3,71.82,,,,,
18,09/28/21 05:36:39 PM,23998.5,71.80,,,,,
19,09/28/21 06:06:39 PM,23972.5,71.80,,,,,
20,09/28/21 06:36:39 PM,23883.8,71.71,,,,,
21,09/28/21 07:06:39 PM,23917.6,71.69,,,,,
22,09/28/21 07:36:39 PM,23920.9,71.60,,,,,
23,09/28/21 08:06:39 PM,23911.2,71.58,,,,,
24,09/28/21 08:36:39 PM,23954.7,71.64,,,,,
25,09/28/21 09:06:39 PM,23859.7,71.49,,,,,
26,09/28/21 09:36:39 PM,23888.7,71.47,,,,,
27,09/28/21 10:06:39 PM,23866.2,71.42,,,,,
28,09/28/21 10:36:39 PM,23752.7,71.02,,,,,
29,09/28/21 11:06:39 PM,23842.1,71.19,,,,,
30,09/28/21 11:36:39 PM,23813.3,71.15,,,,,
31,09/29/21 12:06:39 AM,23802.1,71.10,,,,,
32,09/29/21 12:36:39 AM,23563.0,70.18,,,,,
33,09/29/21 01:06:39 AM,23548.9,69.82,,,,,
34,09/29/21 01:36:39 AM,23511.3,69.78,,,,,
35,09/29/21 02:06:39 AM,23503.5,69.55,,,,,
