"Plot Title: Carolina September 2021 2"
"#","Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20182875, SEN S/N: 20182875)","Temp, °F (LGR S/N: 20182875, SEN S/N: 20182875)","Bad Battery (LGR S/N: 20182875)","Coupler Detached (LGR S/N: 20182875)","Good Battery (LGR S/N: 20182875)","Coupler Attached (LGR S/N: 20182875)","Host Connected (LGR S/N: 20182875)","Stopped (LGR S/N: 20182875)","End Of File (LGR S/N: 20182875)"
1,09/28/21 09:33:42 AM,0.0,74.35,Logged,,,,,,
2,09/28/21 09:33:47 AM,,,,Logged,,,,,
3,09/28/21 10:03:42 AM,35796.1,71.80,,,Logged,,,,
4,09/28/21 10:33:42 AM,35742.5,71.74,,,,,,,
5,09/28/21 11:03:42 AM,35611.1,71.74,,,,,,,
6,09/28/21 11:33:42 AM,35785.4,71.89,,,,,,,
7,09/28/21 12:03:42 PM,35936.1,72.07,,,,,,,
8,09/28/21 12:33:42 PM,35964.9,72.21,,,,,,,
9,09/28/21 01:03:42 PM,36168.1,72.37,,,,,,,
10,09/28/21 01:33:42 PM,36102.6,72.34,,,,,,,
11,09/28/21 02:03:42 PM,36040.8,72.36,,,,,,,
12,09/28/21 02:33:42 PM,36135.3,72.23,,,,,,,
13,09/28/21 03:03:42 PM,35921.7,72.21,,,,,,,
14,09/28/21 03:33:42 PM,36069.9,72.16,,,,,,,
15,09/28/21 04:03:42 PM,36149.9,72.16,,,,,,,
16,09/28/21 04:33:42 PM,35522.8,72.16,,,,,,,
17,09/28/21 05:03:42 PM,36062.6,72.30,,,,,,,
18,09/28/21 05:33:42 PM,36091.7,72.30,,,,,,,
19,09/28/21 06:03:42 PM,35839.0,72.28,,,,,,,
20,09/28/21 06:33:42 PM,35650.1,72.14,,,,,,,
21,09/28/21 07:03:42 PM,35657.2,72.18,,,,,,,
22,09/28/21 07:33:42 PM,35625.3,72.07,,,,,,,
23,09/28/21 08:03:42 PM,35533.4,72.03,,,,,,,
24,09/28/21 08:33:42 PM,35639.4,72.07,,,,,,,
25,09/28/21 09:03:42 PM,35522.8,72.03,,,,,,,
26,09/28/21 09:33:42 PM,35540.5,71.98,,,,,,,
27,09/28/21 10:03:42 PM,35365.1,71.89,,,,,,,
28,09/28/21 10:33:42 PM,35115.5,71.67,,,,,,,
29,09/28/21 11:03:42 PM,35149.9,71.71,,,,,,,
30,09/28/21 11:33:42 PM,34683.7,71.44,,,,,,,
31,09/29/21 12:03:42 AM,34764.5,71.51,,,,,,,
32,09/29/21 12:33:42 AM,34246.1,70.93,,,,,,,
33,09/29/21 01:03:42 AM,33730.4,70.34,,,,,,,
34,09/29/21 01:33:42 AM,33622.8,70.20,,,,,,,
35,09/29/21 02:03:42 AM,33534.8,70.03,,,,,,,
36,09/29/21 02:33:42 AM,33651.2,70.14,,,,,,,
37,09/29/21 03:03:42 AM,33877.0,70.27,,,,,,,
38,09/29/21 03:33:42 AM,33947.6,70.14,,,,,,,
39,09/29/21 04:03:42 AM,33979.8,70.03,,,,,,,
40,09/29/21 04:33:42 AM,33989.5,69.93,,,,,,,
41,09/29/21 05:03:42 AM,34080.0,69.93,,,,,,,
42,09/29/21 05:33:42 AM,34012.0,69.71,,,,,,,
43,09/29/21 06:03:42 AM,33641.8,69.12,,,,,,,
44,09/29/21 06:33:42 AM,33441.0,68.88,,,,,,,
