STUDY_ID,EVENT_ID,STAT_ID,ORDERED_DEPTH_CODE,SAMPLE_ID,SAMPLE_DEPTH_TOP,SAMPLE_DEPTH_BOTTOM,LATITUDE,LONGITUDE,PROF_DATE_TIME_LOCAL,SAMPLE_DEPTH_CODE,DEPTH (m),CONDTVY (mS/cm),DISS_OXYGEN (mg/L),FLUORESCENCE (ug/L),FLU_RAW (ug/L),PCT_SAT (PCT),pH (),VAL_QUAL,SAL (PSU),SIGMA_T (),TEMP (C),TRANS (m-1),Station_D,Air Irradiance,Water Irradiance,TA in (mmol/kgSW),TCO2 in (mmol/kgSW),t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm),Field Replicate,VINDTA Sample Name,Sampled Bottle Name,Sampling Date,Sampling Depth,Salinity - Carolina,Salinity - Ries ,Run T,Sampling T,Pressure,Comments,Data Source
BWQM,WN171,F13,A,WN171034,0.58,1.58,42.2694244,-70.732788,2/18/17 08:06,A,1.61,29.95,10.43,2.137,1.224,97.39,8.04,,32.52,25.87,3.386,1.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,B,WN171033,4.6,5.6,42.2693557,-70.7329025,2/18/17 08:06,B,5.63,29.99,10.42,9.371,1.815,97.38,8.027,,32.52,25.87,3.425,1.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,C,WN171032,9.96,10.96,42.2692832,-70.7330398,2/18/17 08:06,C,11.0,30.15,10.36,6.48,1.673,97.19,8.001,,32.55,25.88,3.592,1.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,D,WN171031,15.75,16.75,42.2692337,-70.7331695,2/18/17 08:06,D,16.75,30.25,10.33,4.057,1.517,97.18,7.973,,32.57,25.88,3.69,1.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F13,E,WN171030,21.84,22.84,42.2691574,-70.7333908,2/18/17 08:06,E,22.79,30.36,10.31,3.527,1.476,97.26,7.922,,32.59,25.89,3.794,1.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,E,WN171044,29.52,30.52,42.1709518,-70.5757293,2/18/17 09:01,E,30.57,31.2,10.19,2.973,1.429,98.17,8.19,,32.78,25.96,4.586,0.8648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,C,WN171046,14.1,15.1,42.1711006,-70.5754089,2/18/17 09:01,C,15.12,31.22,10.2,3.724,1.492,98.27,8.203,,32.79,25.96,4.614,0.8718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,D,WN171045,22.08,23.08,42.1710205,-70.5755691,2/18/17 09:01,D,23.08,31.19,10.2,3.015,1.432,98.17,8.196,,32.78,25.96,4.58,0.8845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,A,WN171048,0.52,1.52,42.1713256,-70.5750656,2/18/17 09:01,A,1.5,31.25,10.21,0.7567,0.8509,98.55,8.211,,32.79,25.96,4.662,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F06,B,WN171047,6.0,7.0,42.1712112,-70.5752334,2/18/17 09:01,B,7.02,31.23,10.2,3.901,1.505,98.36,8.208,,32.79,25.96,4.628,0.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,A,WN171056,0.7,1.7,42.2435111,-70.6367645,2/18/17 09:33,A,1.64,31.08,10.22,4.282,0.6513,98.17,8.222,,32.77,25.96,4.476,0.9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,B,WN171055,7.16,8.16,42.243412,-70.6368713,2/18/17 09:33,B,8.17,31.08,10.2,7.188,1.629,97.98,8.22,,32.77,25.96,4.476,0.9833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
BWQM,WN171,F10,C,WN171054,14.16,15.16,42.2433395,-70.6369552,2/18/17 09:33,C,15.07,31.09,10.18,4.738,1.566,97.79,8.215,,32.77,25.96,4.478,1.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWRA_MassBay_upcast_2017-202205
