Plot Title: Carolina September 2021,,,
#,"Date Time, GMT-04:00","High Range, μS/cm (LGR S/N: 20200318, SEN S/N: 20200318)","Temp, °C (LGR S/N: 20200318, SEN S/N: 20200318)"
1,9/28/2021 9:36,0,23.29
2,9/28/2021 10:06,23924.1,21.83
3,9/28/2021 10:36,23922.5,21.8
4,9/28/2021 11:06,23899.9,21.8
5,9/28/2021 11:36,23967.7,21.91
6,9/28/2021 12:06,23998.5,22.02
7,9/28/2021 12:36,23938.6,22.09
8,9/28/2021 13:06,23987.1,22.15
9,9/28/2021 13:36,24006.6,22.16
10,9/28/2021 14:06,24004.9,22.15
11,9/28/2021 14:36,24014.7,22.08
12,9/28/2021 15:06,23956.4,22.06
13,9/28/2021 15:36,23996.8,22.06
14,9/28/2021 16:06,23992,22.04
15,9/28/2021 16:36,23990.3,22.07
16,9/28/2021 17:06,24003.3,22.12
17,9/28/2021 17:36,23998.5,22.11
18,9/28/2021 18:06,23972.5,22.11
19,9/28/2021 18:36,23883.8,22.06
20,9/28/2021 19:06,23917.6,22.05
21,9/28/2021 19:36,23920.9,22
22,9/28/2021 20:06,23911.2,21.99
23,9/28/2021 20:36,23954.7,22.02
24,9/28/2021 21:06,23859.7,21.94
25,9/28/2021 21:36,23888.7,21.93
26,9/28/2021 22:06,23866.2,21.9
27,9/28/2021 22:36,23752.7,21.68
28,9/28/2021 23:06,23842.1,21.77
29,9/28/2021 23:36,23813.3,21.75
30,9/29/2021 0:06,23802.1,21.72
31,9/29/2021 0:36,23563,21.21
32,9/29/2021 1:06,23548.9,21.01
33,9/29/2021 1:36,23511.3,20.99
34,9/29/2021 2:06,23503.5,20.86
35,9/29/2021 2:36,23533.2,20.89
36,9/29/2021 3:06,23643.3,21.06
37,9/29/2021 3:36,23614.9,20.92
38,9/29/2021 4:06,23611.7,20.86
39,9/29/2021 4:36,23592.9,20.78
40,9/29/2021 5:06,23648,20.82
41,9/29/2021 5:36,23605.4,20.64
42,9/29/2021 6:06,23553.6,20.36
43,9/29/2021 6:36,23505.1,20.15
44,9/29/2021 7:06,23366.7,19.82
45,9/29/2021 7:36,23365.2,19.78
46,9/29/2021 8:06,23318.9,19.7
47,9/29/2021 8:36,23248.1,19.55
48,9/29/2021 9:06,23202.2,19.51
49,9/29/2021 9:36,23187,19.56
50,9/29/2021 10:06,23112.4,19.47
51,9/29/2021 10:36,23185.4,19.9
52,9/29/2021 11:06,23265,20.3
53,9/29/2021 11:36,23400.8,20.63
54,9/29/2021 12:06,23527,20.96
55,9/29/2021 12:36,23519.1,20.73
56,9/29/2021 13:06,23523.8,20.84
57,9/29/2021 13:36,23495.7,20.97
58,9/29/2021 14:06,23539.5,20.96
59,9/29/2021 14:36,23461.4,21.05
60,9/29/2021 15:06,23473.9,21.12
61,9/29/2021 15:36,23455.2,21.13
62,9/29/2021 16:06,23459.8,21.2
63,9/29/2021 16:36,23503.5,21.41
64,9/29/2021 17:06,23439.6,21.26
65,9/29/2021 17:36,23388.4,21.01
66,9/29/2021 18:06,23278.8,20.82
67,9/29/2021 18:36,23240.5,20.75
68,9/29/2021 19:06,23371.4,20.96
69,9/29/2021 19:36,23489.5,21.13
70,9/29/2021 20:06,23520.7,21.22
71,9/29/2021 20:36,23621.2,21.28
72,9/29/2021 21:06,23632.2,21.51
73,9/29/2021 21:36,23640.1,21.58
74,9/29/2021 22:06,23693.9,21.71
75,9/29/2021 22:36,23722.5,21.59
76,9/29/2021 23:06,23705,21.58
77,9/29/2021 23:36,23698.7,21.72
78,9/30/2021 0:06,23665.4,21.64
79,9/30/2021 0:36,23689.1,21.63
80,9/30/2021 1:06,23724,21.66
81,9/30/2021 1:36,23624.3,21.5
82,9/30/2021 2:06,23648,21.5
83,9/30/2021 2:36,23622.8,21.39
84,9/30/2021 3:06,23570.9,21.23
85,9/30/2021 3:36,23614.9,21.3
86,9/30/2021 4:06,23528.5,21.01
87,9/30/2021 4:36,23311.1,20.22
88,9/30/2021 5:06,23332.7,19.93
89,9/30/2021 5:36,23349.7,19.97
90,9/30/2021 6:06,23351.3,19.99
91,9/30/2021 6:36,23394.6,20
92,9/30/2021 7:06,23268.1,19.48
93,9/30/2021 7:36,23209.9,19.21
94,9/30/2021 8:06,23062.4,18.76
95,9/30/2021 8:36,23029.2,18.7
96,9/30/2021 9:06,23023.1,18.72
97,9/30/2021 9:36,22993,18.79
98,9/30/2021 10:06,22946.4,18.85
99,9/30/2021 10:36,23018.6,18.97
100,9/30/2021 11:06,22967.4,18.91
101,9/30/2021 11:36,22987,19.19
102,9/30/2021 12:06,22996,19.34
103,9/30/2021 12:36,22987,19.39
104,9/30/2021 13:06,22993,19.44
105,9/30/2021 13:36,23017.1,19.56
106,9/30/2021 14:06,23226.7,20.33
107,9/30/2021 14:36,23209.9,20.37
108,9/30/2021 15:06,23243.5,20.32
109,9/30/2021 15:36,23151.9,20.15
110,9/30/2021 16:06,23164.1,20.08
111,9/30/2021 16:36,23118.5,19.9
112,9/30/2021 17:06,23059.4,19.68
113,9/30/2021 17:36,23069.9,19.76
114,9/30/2021 18:06,23113.9,19.69
115,9/30/2021 18:36,23113.9,19.6
116,9/30/2021 19:06,23124.5,19.21
117,9/30/2021 19:36,23063.9,19.14
118,9/30/2021 20:06,23020.1,19
119,9/30/2021 20:36,23014.1,19.01
120,9/30/2021 21:06,22919.5,18.75
