Date,Time (LST),Predicted (ft),Preliminary (ft),Verified (ft)
6/18/2021,0:00,1.479,-,-
6/18/2021,1:00,1.805,-,-
6/18/2021,1:36,-,-,2.15
6/18/2021,2:00,1.87,-,-
6/18/2021,3:00,1.607,-,-
6/18/2021,4:00,1.23,-,-
6/18/2021,5:00,1.046,-,-
6/18/2021,6:00,0.968,-,-
6/18/2021,7:00,0.713,-,-
6/18/2021,8:00,0.369,-,-
6/18/2021,9:00,0.213,-,-
6/18/2021,9:18,-,-,0.57
6/18/2021,10:00,0.307,-,-
6/18/2021,11:00,0.62,-,-
6/18/2021,12:00,1.111,-,-
6/18/2021,13:00,1.619,-,-
6/18/2021,14:00,1.922,-,-
6/18/2021,14:18,-,-,2.2
6/18/2021,15:00,1.868,-,-
6/18/2021,16:00,1.538,-,-
6/18/2021,17:00,1.264,-,-
6/18/2021,18:00,1.176,-,-
6/18/2021,19:00,1.023,-,-
6/18/2021,20:00,0.706,-,-
6/18/2021,21:00,0.461,-,-
6/18/2021,21:54,-,-,0.82
6/18/2021,22:00,0.433,-,-
6/18/2021,23:00,0.603,-,-
6/19/2021,0:00,0.955,-,-
6/19/2021,1:00,1.394,-,-
6/19/2021,2:00,1.728,-,-
6/19/2021,2:30,-,-,2.14
6/19/2021,3:00,1.781,-,-
6/19/2021,4:00,1.511,-,-
6/19/2021,5:00,1.148,-,-
6/19/2021,6:00,0.964,-,-
6/19/2021,7:00,0.845,-,-
6/19/2021,8:00,0.568,-,-
6/19/2021,9:00,0.265,-,-
6/19/2021,10:00,0.173,-,-
6/19/2021,10:18,-,-,0.69
6/19/2021,11:00,0.334,-,-
6/19/2021,12:00,0.731,-,-
6/19/2021,13:00,1.297,-,-
6/19/2021,14:00,1.848,-,-
6/19/2021,15:00,2.169,-,-
6/19/2021,15:06,-,-,2.57
6/19/2021,16:00,2.115,-,-
6/19/2021,17:00,1.772,-,-
6/19/2021,18:00,1.465,-,-
6/19/2021,19:00,1.293,-,-
6/19/2021,20:00,1.021,-,-
6/19/2021,21:00,0.614,-,-
6/19/2021,22:00,0.316,-,-
6/19/2021,23:00,0.259,-,0.54
6/20/2021,0:00,0.435,-,-
6/20/2021,1:00,0.821,-,-
6/20/2021,2:00,1.298,-,-
