Year Day	Temperature C	CO2	Battery Voltage
168.0931	22.79		0.00
168.2597	22.26		0.00
168.4264	22.21		0.00
168.5931	22.23		0.00
168.7597	22.31		0.00
168.9264	23.88		0.00
169.0931	25.97		0.00
169.2597	24.74		0.00
169.4264	22.33		0.00
169.5931	21.11		0.00
169.6256	21.24		11.71
169.6264			
169.6459	21.61	807.4	12.00
169.6461			
169.6668	21.71	601.7	11.99
169.6669			
169.6876	22.06	617.2	11.99
169.6877			
169.7084	21.91	628.6	11.99
169.7086			
169.7293	22.28	652.2	11.99
169.7294			
169.7501	22.21	591.9	11.99
169.7502			
169.7709	22.48	458.0	11.99
169.7711			
169.7918	22.48	456.4	11.99
169.7919			
169.8126	22.53	446.8	12.00
169.8127			
169.8334	22.43	361.2	11.99
169.8336			
169.8543	22.46	377.4	12.00
169.8544			
169.8751	22.26	345.9	11.99
169.8752			
169.8959	22.21	334.5	11.99
169.8961			
169.9168	22.21	348.3	11.99
169.9169			
169.9376	22.03	346.2	11.99
169.9377			
169.9584	21.83	353.8	11.99
169.9586			
169.9793	21.71	333.6	11.99
169.9794			
170.0001	21.58	342.6	11.99
170.0002			
170.0209	21.44	397.1	11.99
170.0211			
170.0418	21.53	439.0	11.99
170.0419			
170.0626	21.31	463.6	11.99
170.0627			
170.0834	21.04	492.9	11.99
170.0836			
170.1043	20.92	622.8	11.99
170.1044			
170.1251	20.87	682.6	11.98
170.1252			
170.1459	20.77	717.6	11.98
170.1461			
170.1668	20.77	788.2	11.98
170.1669			
170.1876	21.06	762.9	11.98
170.1877			
170.2084	20.72	769.2	11.98
170.2086			
170.2293	20.77	759.8	11.98
170.2294			
170.2501	20.67	766.4	11.98
170.2502			
170.2709	20.79	815.4	11.98
170.2711			
170.2918	20.74	825.1	11.98
170.2919			
170.3126	20.72	833.6	11.98
170.3127			
170.3334	20.82	854.0	11.98
170.3336			
170.3543	20.89	813.1	11.98
170.3544			
170.3751	21.06	780.5	11.98
170.3752			
170.3959	21.04	735.9	11.98
170.3961			
170.4168	20.99	744.3	11.98
170.4169			
170.4376	20.99	745.2	11.98
170.4377			
170.4584	20.97	757.7	11.98
170.4586			
170.4793	20.99	765.3	11.98
