Year Day	Temperature C	CO2	Battery Voltage
142.7847	21.51		0.00
142.8264	21.96		0.00
142.8680	22.28		0.00
142.9097	21.36		0.00
142.9514	21.11		0.00
142.9930	19.99		0.00
143.0347	18.59		0.00
143.0764	17.31		0.00
143.1180	16.16		0.00
143.1597	15.12		0.00
143.2014	14.15		0.00
143.2430	13.31		0.00
143.2847	12.54		0.00
143.3264	11.84		0.00
143.3680	11.19		0.00
143.4097	11.23		0.00
143.4514	11.73		0.00
143.4930	13.88		0.00
143.5347	16.11		0.00
143.5764	15.77		0.00
143.6180	15.77		0.00
143.6187	15.72		11.56
143.6193			
143.6598	15.86	529.9	11.69
143.6598			
143.7015	16.72	555.0	11.65
143.7015			
143.7432	17.54	564.9	11.63
143.7432			
143.7848	17.99	538.6	11.63
143.7848			
143.8265	18.73	472.1	11.63
143.8265			
143.8682	17.97	459.8	11.63
143.8682			
143.9098	16.60	516.6	11.62
143.9098			
143.9515	16.79	482.6	11.61
143.9515			
143.9932	16.49	491.3	11.61
143.9932			
144.0348	16.39	504.0	11.60
144.0348			
144.0765	16.35	521.1	11.59
144.0765			
144.1182	16.21	537.6	11.59
144.1182			
144.1598	16.09	533.1	11.59
144.1598			
144.2015	16.11	537.6	11.59
144.2015			
144.2432	16.14	592.5	11.59
144.2432			
144.2848	16.02	663.2	11.59
144.2848			
144.3265	16.02	777.7	11.59
144.3265			
144.3682	15.72	810.6	11.59
144.3682			
144.4098	15.95	809.0	11.59
144.4098			
144.4515	15.95	726.3	11.59
144.4515			
144.4932	16.00	686.8	11.59
144.4932			
144.5348	15.77	686.9	11.59
144.5348			
144.5765	15.79	622.8	11.58
144.5765			
144.6182	15.93	576.6	11.59
144.6182			
144.6598	16.02	551.9	11.59
144.6598			
144.7015	16.02	530.4	11.59
144.7015			
144.7432	16.51	524.5	11.59
144.7432			
144.7848	17.38	515.4	11.60
144.7848			
144.8265	17.95	480.7	11.61
144.8265			
144.8682	18.30	464.7	11.61
144.8682			
144.9098	17.12	478.3	11.61
144.9098			
144.9515	16.98	498.4	11.60
144.9515			
144.9932	17.07	501.8	11.60
144.9932			
145.0348	17.10	495.7	11.60
145.0348			
145.0765	17.05	514.2	11.60
145.0765			
145.1182	16.93	531.6	11.59
145.1182			
145.1598	16.72	527.7	11.59
145.1598			
145.2015	16.74	531.4	11.59
145.2015			
145.2432	16.81	572.2	11.59
145.2432			
145.2848	16.96	621.8	11.59
145.2848			
145.3265	17.00	678.5	11.59
145.3265			
145.3682	16.79	915.4	11.59
145.3682			
145.4098	16.81	1008.7	11.59
145.4098			
145.4515	16.77	986.8	11.59
145.4515			
145.4932	16.77	1063.7	11.59
145.4932			
145.5348	16.81	1051.6	11.59
145.5348			
145.5765	16.58	796.4	11.59
145.5765			
145.6182	16.11	688.6	11.58
145.6182			
145.6598	16.14	633.0	11.58
145.6598			
145.7015	16.21	584.8	11.58
145.7015			
145.7432	16.25	581.0	11.58
145.7432			
145.7848	16.91	572.8	11.58
145.7848			
145.8265	17.24	561.5	11.59
145.8265			
145.8682	17.83	531.0	11.59
145.8682			
145.9098	17.59	496.4	11.59
145.9098			
145.9515	16.98	535.7	11.59
145.9515			
145.9932	16.84	568.1	11.59
145.9932			
146.0348	16.67	554.8	11.59
146.0348			
146.0765	16.77	578.8	11.58
146.0765			
146.1182	16.60	564.5	11.58
146.1182			
146.1598	16.46	584.5	11.58
146.1598			
146.2015	16.39	588.8	11.58
146.2015			
146.2432	16.25	556.2	11.57
146.2432			
146.2848	16.42	629.9	11.57
146.2848			
146.3265	16.67	727.3	11.57
146.3265			
146.3682	16.67	802.1	11.57
146.3682			
146.4098	16.63	836.7	11.58
146.4098			
146.4515	16.63	866.6	11.58
146.4515			
146.4932	16.56	827.6	11.57
146.4932			
146.5348	16.53	766.7	11.57
146.5348			
146.5765	16.42	772.0	11.57
146.5765			
146.6182	16.49	703.0	11.57
146.6182			
146.6598	16.53	649.6	11.57
146.6598			
146.7015	16.74	596.6	11.57
146.7015			
146.7432	16.79	568.5	11.57
146.7432			
146.7848	17.10	582.8	11.58
146.7848			
146.8265	17.50	565.5	11.58
146.8265			
146.8682	17.69	532.4	11.58
146.8682			
146.9098	18.37	504.4	11.59
146.9098			
146.9515	17.95	505.5	11.59
146.9515			
146.9932	17.14	514.5	11.58
146.9932			
147.0348	17.10	582.2	11.58
147.0348			
147.0765	16.93	571.9	11.57
147.0765			
147.1182	16.63	565.9	11.57
147.1182			
147.1603	16.53		11.50
147.1610			
147.2015	16.46	541.7	11.68
147.2015			
147.2432	16.28	566.3	11.64
147.2432			
147.2848	16.23	588.5	11.62
147.2848			
147.3265	16.72	660.6	11.61
147.3265			
147.3682	16.65	736.5	11.60
147.3682			
147.4098	16.77	836.6	11.59
147.4098			
147.4515	16.65	855.4	11.59
147.4515			
147.4932	16.56	784.8	11.59
147.4932			
147.5348	16.51	806.1	11.58
147.5348			
147.5765	16.35	784.3	11.58
147.5765			
147.6182	16.51	738.9	11.58
147.6182			
147.6598	16.58	661.5	11.57
147.6598			
147.7015	17.21	607.5	11.57
147.7015			
147.7432	17.31	602.0	11.58
147.7432			
147.7848	17.31	599.0	11.58
147.7848			
147.8265	17.80	576.5	11.58
147.8265			
147.8682	18.68	544.0	11.59
147.8682			
147.9098	18.54	561.4	11.59
147.9098			
147.9515	19.21	534.2	11.59
147.9515			
147.9932	19.09	534.0	11.59
147.9932			
148.0348	18.09	612.8	11.59
148.0348			
148.0765	17.83	621.3	11.58
148.0765			
148.1182	17.71	594.2	11.58
148.1182			
148.1598	17.69	615.7	11.57
148.1598			
148.2015	17.43	618.1	11.57
148.2015			
148.2432	17.31	596.4	11.56
148.2432			
148.2848	17.05	600.5	11.56
148.2848			
148.3265	17.12	614.4	11.56
148.3265			
148.3682	17.31	673.9	11.56
148.3682			
148.4098	17.33	733.2	11.56
148.4098			
148.4515	17.45	782.6	11.56
148.4515			
148.4932	17.50	839.9	11.56
148.4932			
148.5348	17.28	830.1	11.56
148.5348			
148.5765	17.17	801.2	11.55
148.5765			
148.6182	17.26	740.8	11.55
148.6182			
148.6598	17.31	714.7	11.55
148.6598			
148.7015	17.38	646.0	11.55
148.7015			
148.7432	18.04	607.2	11.56
148.7432			
148.7848	17.95	573.7	11.56
148.7848			
148.8265	17.88	580.9	11.56
148.8265			
148.8682	18.30	568.5	11.56
148.8682			
148.9098	18.85	543.7	11.56
148.9098			
148.9515	19.19	532.3	11.56
148.9515			
148.9932	19.45	482.3	11.57
148.9932			
149.0348	19.60	497.2	11.57
149.0348			
149.0765	18.83	533.7	11.57
149.0765			
149.1182	18.16	597.1	11.56
149.1182			
149.1598	17.95	624.8	11.55
149.1598			
149.2015	17.88	644.6	11.55
149.2015			
149.2432	17.83	628.0	11.55
149.2432			
149.2848	17.45	615.2	11.54
149.2848			
149.3265	17.31	624.1	11.54
149.3265			
149.3682	17.50	638.1	11.54
149.3682			
149.4098	17.64	722.7	11.54
149.4098			
149.4515	17.71	802.5	11.54
149.4515			
149.4932	17.59	953.1	11.54
149.4932			
149.5348	17.52	855.9	11.54
149.5348			
149.5765	17.47	875.4	11.54
149.5765			
149.6182	17.61	923.2	11.54
149.6182			
149.6598	17.64	784.8	11.54
149.6598			
149.7015	18.14	642.9	11.54
149.7015			
149.7432	18.35	598.1	11.54
149.7432			
149.7848	18.33	576.6	11.54
149.7848			
149.8265	18.16	558.7	11.54
149.8265			
149.8682	18.07	566.1	11.54
149.8682			
149.9098	18.33	560.7	11.54
149.9098			
149.9515	18.92	490.5	11.54
149.9515			
149.9932	19.02	506.0	11.55
149.9932			
150.0348	18.52	565.2	11.54
150.0348			
150.0765	18.52	587.2	11.54
150.0765			
150.1182	18.57	646.1	11.54
150.1182			
150.1598	17.99	647.4	11.54
150.1598			
150.2015	17.97	654.7	11.53
150.2015			
150.2432	17.61	661.7	11.53
150.2432			
150.2848	17.52	635.6	11.53
150.2848			
150.3265	17.17	644.1	11.52
150.3265			
150.3682	17.05	652.5	11.52
150.3682			
150.4098	17.07	655.7	11.52
150.4098			
150.4515	17.38	755.4	11.52
150.4515			
150.4932	17.33	849.1	11.52
150.4932			
150.5348	17.24	1005.2	11.51
150.5348			
150.5765	17.36	999.7	11.52
150.5765			
150.6182	17.38	872.8	11.52
150.6182			
150.6598	17.31	721.2	11.52
150.6598			
150.7020	17.33		11.47
150.7027			
150.7432	17.50	609.9	11.65
150.7432			
150.7848	17.71	578.4	11.61
150.7848			
150.8265	17.90	558.2	11.59
150.8265			
150.8682	17.57	553.5	11.57
150.8682			
150.9098	17.54	553.7	11.56
150.9098			
150.9515	17.90	540.9	11.56
150.9515			
150.9932	18.47	529.1	11.55
150.9932			
151.0348	18.95	495.0	11.55
151.0348			
151.0765	19.09	506.8	11.55
151.0765			
151.1182	18.97	551.6	11.56
151.1182			
151.1598	18.71	573.7	11.55
151.1598			
151.2015	17.76	654.0	11.54
151.2015			
151.2432	17.40	678.9	11.54
151.2432			
151.2848	17.19	676.1	11.53
151.2848			
151.3265	17.14	665.8	11.52
151.3265			
151.3682	16.98	677.7	11.52
151.3682			
151.4098	16.77	691.9	11.52
151.4098			
151.4515	17.00	729.3	11.51
151.4515			
151.4932	17.07	869.8	11.52
151.4932			
151.5348	17.10	931.4	11.52
151.5348			
151.5765	17.21	1035.8	11.52
151.5765			
151.6182	17.40	1082.9	11.52
151.6182			
151.6598	17.38	931.9	11.52
151.6598			
151.7015	17.36	775.2	11.52
151.7015			
151.7432	17.88	728.9	11.52
151.7432			
151.7848	18.33	631.9	11.52
151.7848			
151.8265	18.54	602.2	11.53
151.8265			
151.8682	18.54	584.1	11.53
151.8682			
151.9098	18.33	588.9	11.53
151.9098			
151.9515	18.37	604.9	11.53
151.9515			
151.9932	18.95	582.3	11.52
151.9932			
152.0348	19.41	585.7	11.53
152.0348			
152.0765	19.82	595.6	11.54
152.0765			
152.1182	19.84	680.5	11.54
152.1182			
152.1598	19.67	739.6	11.54
152.1598			
152.2015	18.78	744.9	11.54
152.2015			
152.2432	18.52	877.2	11.53
152.2432			
152.2848	18.26	807.3	11.52
152.2848			
152.3265	17.92	712.6	11.51
152.3265			
152.3682	17.57	713.2	11.51
152.3682			
152.4098	17.57	755.0	11.50
152.4098			
152.4515	17.57	757.4	11.50
152.4515			
152.4932	17.88	810.2	11.50
152.4932			
152.5348	18.07	930.6	11.51
152.5348			
152.5765	18.37	1022.5	11.51
152.5765			
152.6182	18.78	1102.9	11.51
152.6182			
152.6598	18.66	1038.1	11.51
152.6598			
152.7015	18.37	942.9	11.51
152.7015			
152.7432	18.40	812.3	11.51
152.7432			
152.7848	19.02	677.0	11.51
152.7848			
152.8265	19.55	653.4	11.52
152.8265			
152.8682	19.62	621.5	11.52
152.8682			
152.9098	19.26	619.0	11.52
152.9098			
152.9515	18.97	631.0	11.52
152.9515			
152.9932	19.26	636.7	11.51
152.9932			
153.0348	19.77	649.0	11.52
153.0348			
153.0765	20.35	729.1	11.52
153.0765			
153.1182	20.72	969.8	11.53
153.1182			
153.1598	20.72	1167.4	11.53
153.1598			
153.2015	20.52	1198.5	11.53
153.2015			
153.2432	20.28	1134.9	11.53
153.2432			
153.2848	19.45	1030.4	11.52
153.2848			
153.3265	18.97	891.3	11.51
153.3265			
153.3682	18.80	833.5	11.51
153.3682			
153.4098	18.47	816.5	11.50
153.4098			
153.4515	18.30	822.9	11.50
153.4515			
153.4932	18.28	827.9	11.49
153.4932			
153.5348	18.83	902.3	11.49
153.5348			
153.5765	19.09	1007.2	11.50
153.5765			
153.6182	19.87	1232.7	11.50
153.6182			
153.6598	20.23	1364.3	11.51
153.6598			
153.7015	20.13	1234.7	11.51
153.7015			
153.7432	19.50	970.6	11.51
153.7432			
153.7848	19.62	759.3	11.51
153.7848			
153.8265	19.87	651.0	11.51
153.8265			
153.8682	19.96	632.8	11.51
153.8682			
153.9098	19.84	629.2	11.51
153.9098			
153.9515	19.26	601.8	11.50
153.9515			
153.9932	19.14	637.2	11.50
153.9932			
154.0348	19.38	647.8	11.50
154.0348			
154.0765	19.91	734.8	11.50
154.0765			
154.1182	20.43	990.9	11.50
154.1182			
154.1598	20.67	1547.4	11.51
154.1598			
154.2015	20.57	2081.7	11.51
154.2015			
154.2437	20.55		11.48
154.2443			
154.2848	20.45	1939.0	11.65
154.2848			
154.3265	20.01	1599.3	11.60
154.3265			
154.3682	19.60	1310.8	11.57
154.3682			
154.4098	18.90	980.9	11.55
154.4098			
154.4515	18.64	864.8	11.54
154.4515			
154.4932	18.49	855.8	11.52
154.4932			
154.5348	18.52	843.7	11.52
154.5348			
154.5765	18.21	1153.1	11.51
154.5765			
154.6182	17.99	1459.5	11.51
154.6182			
154.6598	17.90	1610.6	11.50
154.6598			
154.7015	17.83	1675.6	11.50
154.7015			
154.7432	17.88	1790.3	11.50
154.7432			
154.7848	17.92	1632.1	11.50
154.7848			
154.8265	18.04	1312.7	11.50
154.8265			
154.8682	17.64	839.9	11.50
154.8682			
154.9098	17.59	763.7	11.49
154.9098			
154.9515	17.38	699.6	11.49
154.9515			
154.9932	17.00	650.2	11.48
154.9932			
155.0348	17.00	665.8	11.48
155.0348			
155.0765	16.91	724.4	11.48
155.0765			
155.1182	16.58	889.6	11.48
155.1182			
155.1598	16.30	1228.4	11.48
