Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
191.7917	24.40	35.00	7.9216	11.58	2020-07-09	19:00:00
191.8333	24.74	35.00	7.9336	11.66	2020-07-09	19:59:59
191.8750	24.74	35.00	7.9452	11.70	2020-07-09	20:59:59
191.9167	24.87	35.00	7.9387	11.72	2020-07-09	21:59:59
191.9583	24.92	35.00	7.9414	11.73	2020-07-09	22:59:59
192.0000	24.95	35.00	7.8858	11.74	2020-07-09	23:59:59
192.0417	25.26	35.00	7.7628	11.74	2020-07-10	00:59:59
192.0833	25.39	35.00	7.4802	11.75	2020-07-10	01:59:59
192.1250	25.39	35.00	7.3889	11.75	2020-07-10	02:59:59
192.1667	23.91	35.00	7.8611	11.74	2020-07-10	03:59:59
192.2083	23.45	35.00	7.8600	11.74	2020-07-10	04:59:59
192.2500	23.50	35.00	7.8395	11.73	2020-07-10	05:59:59
192.2917	23.75	35.00	7.8384	11.73	2020-07-10	06:59:59
192.3333	23.86	35.00	7.8161	11.73	2020-07-10	07:59:59
192.3750	23.68	35.00	7.8445	11.73	2020-07-10	08:59:59
192.4167	23.60	35.00	7.8278	11.73	2020-07-10	09:59:59
192.4583	23.70	35.00	7.7998	11.73	2020-07-10	10:59:59
192.5000	23.75	35.00	7.7393	11.73	2020-07-10	11:59:59
192.5417	23.83	35.00	7.6098	11.73	2020-07-10	12:59:59
192.5833	24.30	35.00	7.3810	11.73	2020-07-10	13:59:59
192.6250	24.79	35.00	7.1436	11.73	2020-07-10	14:59:59
192.6667	24.27	35.00	7.6692	11.73	2020-07-10	15:59:59
192.7083	24.30	35.00	7.9146	11.73	2020-07-10	16:59:59
192.7500	24.45	35.00	7.9596	11.73	2020-07-10	17:59:59
192.7917	24.48	35.00	7.9640	11.72	2020-07-10	18:59:59
192.8333	24.58	35.00	7.9583	11.72	2020-07-10	19:59:59
192.8750	24.48	35.00	7.9435	11.72	2020-07-10	20:59:59
192.9167	24.35	35.00	7.9176	11.72	2020-07-10	21:59:59
192.9583	24.37	35.00	8.0126	11.72	2020-07-10	22:59:59
193.0000	24.48	35.00	7.9232	11.71	2020-07-10	23:59:59
193.0417	24.48	35.00	7.8802	11.71	2020-07-11	00:59:59
193.0833	24.53	35.00	7.7774	11.70	2020-07-11	01:59:59
193.1250	24.63	35.00	7.5694	11.70	2020-07-11	02:59:59
193.1667	24.61	35.00	7.5178	11.70	2020-07-11	03:59:59
