Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr	Type Name	Fractional Hour Of Day	StartTherm (Raw)	434Ref (Raw)	434Sig (Raw)	578Ref (Raw)	578Sig (Raw)	Salinity (Raw)
220.625	23.19	35	7.8263	10.8	8/8/2019	15:00:00	pH(vb+) 	15	1559	1807.61	881.09	1669.74	825.39	0
220.6667	23.65	35	7.7761	10.81	8/8/2019	15:59:59	pH(vb+) 	15.9997	1541	1807	873.57	1670.3	843.7	0
220.7083	24.5	35	7.8447	10.82	8/8/2019	16:59:59	pH(vb+) 	16.9997	1509	1803.74	884.65	1666.78	811.52	0
220.75	25.6	35	7.9054	10.83	8/8/2019	17:59:59	pH(vb+) 	17.9997	1468	1793.04	898.3	1657.96	786.96	0
220.7917	26.43	35	7.8768	10.84	8/8/2019	18:59:59	pH(vb+) 	18.9997	1438	1786.43	885.09	1650.91	781.09	0
220.8333	26.53	35	7.8856	10.85	8/8/2019	19:59:59	pH(vb+) 	19.9997	1432	1779.7	884.65	1645.3	774.17	0
220.875	22.91	35	7.8775	10.84	8/8/2019	20:59:59	pH(vb+) 	20.9997	1573	1785.91	877.04	1653.3	787.61	0
220.9167	23.63	35	7.8936	10.83	8/8/2019	21:59:59	pH(vb+) 	21.9997	1569	1801.91	889.61	1667.52	791.09	0
220.9583	22.16	35	7.9687	10.82	8/8/2019	22:59:59	pH(vb+) 	22.9997	1604	1807.17	903.74	1672.87	777.74	0
221	22.23	35	7.9255	10.81	8/8/2019	23:59:59	pH(vb+) 	23.9997	1598	1812.78	900.35	1678.13	793.43	0
221.0417	23.47	35	7.8974	10.81	8/9/2019	0:59:59	pH(vb+) 	0.9997	1548	1807.04	896.04	1671.65	792.78	0
221.0833	23.27	35	7.9249	10.82	8/9/2019	1:59:59	pH(vb+) 	1.9997	1557	1807.04	900.3	1671.83	791.91	0
221.125	23.14	35	7.9545	10.82	8/9/2019	2:59:59	pH(vb+) 	2.9997	1562	1806.96	903.78	1671.35	782.83	0
221.1667	23.04	35	7.9394	10.81	8/9/2019	3:59:59	pH(vb+) 	3.9997	1567	1808	900.43	1672.26	785.04	0
221.2083	22.94	35	7.9923	10.81	8/9/2019	4:59:59	pH(vb+) 	4.9997	1570	1809.26	906.35	1674.09	763.78	0
221.25	22.84	35	7.9681	10.81	8/9/2019	5:59:59	pH(vb+) 	5.9997	1575	1810.3	906.87	1675.09	781.09	0
221.2917	22.64	35	7.9292	10.81	8/9/2019	6:59:59	pH(vb+) 	6.9997	1582	1811.39	895.52	1676.26	788	0
221.3333	22.46	35	7.9206	10.81	8/9/2019	7:59:59	pH(vb+) 	7.9997	1590	1813.78	894.78	1677.96	796.09	0
221.375	22.28	35	7.918	10.8	8/9/2019	8:59:59	pH(vb+) 	8.9997	1596	1816.91	897.3	1680.52	800.3	0
221.4167	20.47	35	7.7322	10.79	8/9/2019	9:59:59	pH(vb+) 	9.9997	1669	1821.91	877.74	1686.48	896.35	0
221.4583	20.72	35	7.7122	10.78	8/9/2019	10:59:59	pH(vb+) 	10.9997	1660	1828.48	873.87	1691.52	906.74	0
221.5	21.09	35	7.7093	10.78	8/9/2019	11:59:59	pH(vb+) 	11.9997	1644	1829.43	869.65	1691.78	902.26	0
221.5417	21.31	35	7.7086	10.78	8/9/2019	12:59:59	pH(vb+) 	12.9997	1635	1825.52	865.52	1689.13	896.96	0
221.5833	21.88	35	7.7981	10.79	8/9/2019	13:59:59	pH(vb+) 	13.9997	1611	1821.13	880.52	1685.09	857.83	0
221.625	23.09	35	7.8936	10.8	8/9/2019	14:59:59	pH(vb+) 	14.9997	1566	1813.04	893.39	1676.3	808.13	0
221.6667	23.99	35	7.9163	10.81	8/9/2019	15:59:59	pH(vb+) 	15.9997	1530	1803.43	899.7	1667.74	795.87	0
221.7083	24.63	35	7.94	10.82	8/9/2019	16:59:59	pH(vb+) 	16.9997	1504	1794.65	898.09	1659.7	766.61	0
221.75	25.89	35	7.9434	10.83	8/9/2019	17:59:59	pH(vb+) 	17.9997	1457	1784.65	900.96	1650.52	762.35	0
221.7917	26.56	35	7.8934	10.84	8/9/2019	18:59:59	pH(vb+) 	18.9997	1431	1776.26	889.39	1641.17	770.57	0
221.8333	27.1	35	7.9224	10.85	8/9/2019	19:59:59	pH(vb+) 	19.9997	1413	1772.61	892.7	1638.35	755.04	0
221.875	27.46	35	7.9176	10.85	8/9/2019	20:59:59	pH(vb+) 	20.9997	1398	1771.3	890.09	1637.65	755.3	0
221.9167	23.57	35	7.9502	10.84	8/9/2019	21:59:59	pH(vb+) 	21.9997	1547	1781.78	896.35	1648.61	774.43	0
221.9583	24.17	35	7.9899	10.83	8/9/2019	22:59:59	pH(vb+) 	22.9997	1523	1794.43	906.35	1660.17	759.65	0
222	23.12	35	7.9988	10.82	8/9/2019	23:59:59	pH(vb+) 	23.9997	1561	1797.22	906.61	1662.65	760.09	0
222.0417	24.27	35	7.9486	10.81	8/10/2019	0:59:59	pH(vb+) 	0.9997	1518	1801.43	903.65	1666	782.39	0
222.0833	24.11	35	7.9247	10.82	8/10/2019	1:59:59	pH(vb+) 	1.9997	1524	1798.61	900.74	1664.52	791.91	0
222.125	23.93	35	7.9403	10.81	8/10/2019	2:59:59	pH(vb+) 	2.9997	1531	1799.17	902.83	1664.22	785.87	0
222.1667	23.63	35	7.9257	10.81	8/10/2019	3:59:59	pH(vb+) 	3.9997	1542	1800.87	899.48	1666.61	792.87	0
222.2083	23.47	35	7.9907	10.81	8/10/2019	4:59:59	pH(vb+) 	4.9997	1549	1804.57	911.96	1669.13	776.96	0
222.25	23.34	35	7.9996	10.8	8/10/2019	5:59:59	pH(vb+) 	5.9997	1554	1805.57	915.83	1670.91	773.35	0
222.2917	23.12	35	7.9284	10.81	8/10/2019	6:59:59	pH(vb+) 	6.9997	1564	1807.65	904.87	1672.22	800.04	0
222.3333	22.81	35	7.9357	10.8	8/10/2019	7:59:59	pH(vb+) 	7.9997	1575	1809.65	901.35	1674.35	795.22	0
222.375	22.56	35	7.9109	10.8	8/10/2019	8:59:59	pH(vb+) 	8.9997	1585	1812.52	896.3	1677.91	807	0
