Date,CO2,Battery
2021-06-18 15:30:05,807.4,12
2021-06-18 16:00:11,601.7,11.99
2021-06-18 16:30:08,617.2,11.99
2021-06-18 17:00:05,628.6,11.99
2021-06-18 17:30:11,652.2,11.99
2021-06-18 18:00:08,591.9,11.99
2021-06-18 18:30:05,458,11.99
2021-06-18 19:00:11,456.4,11.99
2021-06-18 19:30:08,446.8,12
2021-06-18 20:00:05,361.2,11.99
2021-06-18 20:30:11,377.4,12
2021-06-18 21:00:08,345.9,11.99
2021-06-18 21:30:05,334.5,11.99
2021-06-18 22:00:11,348.3,11.99
2021-06-18 22:30:08,346.2,11.99
2021-06-18 23:00:05,353.8,11.99
2021-06-18 23:30:11,333.6,11.99
2021-06-19 00:00:08,342.6,11.99
2021-06-19 00:30:05,397.1,11.99
2021-06-19 01:00:11,439,11.99
2021-06-19 01:30:08,463.6,11.99
2021-06-19 02:00:05,492.9,11.99
2021-06-19 02:30:11,622.8,11.99
2021-06-19 03:00:08,682.6,11.98
2021-06-19 03:30:05,717.6,11.98
2021-06-19 04:00:11,788.2,11.98
2021-06-19 04:30:08,762.9,11.98
2021-06-19 05:00:05,769.2,11.98
2021-06-19 05:30:11,759.8,11.98
2021-06-19 06:00:08,766.4,11.98
2021-06-19 06:30:05,815.4,11.98
2021-06-19 07:00:11,825.1,11.98
2021-06-19 07:30:08,833.6,11.98
2021-06-19 08:00:05,854,11.98
2021-06-19 08:30:11,813.1,11.98
2021-06-19 09:00:08,780.5,11.98
2021-06-19 09:30:05,735.9,11.98
2021-06-19 10:00:11,744.3,11.98
2021-06-19 10:30:08,745.2,11.98
2021-06-19 11:00:05,757.7,11.98
2021-06-19 11:30:11,765.3,11.98
2021-06-19 12:00:08,798.7,11.98
2021-06-19 12:30:05,842.5,11.98
2021-06-19 13:00:11,896.5,11.98
2021-06-19 13:30:08,885.1,11.98
2021-06-19 14:00:05,872.8,11.98
2021-06-19 14:30:11,848.9,11.98
2021-06-19 15:00:08,801.4,11.99
2021-06-19 15:30:05,736.4,11.99
2021-06-19 16:00:11,698.3,11.99
2021-06-19 16:30:08,674.3,11.99
2021-06-19 17:00:05,635.9,11.99
2021-06-19 17:30:11,633.8,11.99
2021-06-19 18:00:08,592,11.99
2021-06-19 18:30:05,560,11.99
2021-06-19 19:00:11,515.6,11.99
2021-06-19 19:30:08,382.3,11.99
2021-06-19 20:00:05,418.3,11.99
2021-06-19 20:30:11,439.4,11.99
2021-06-19 21:00:08,419.9,11.99
2021-06-19 21:30:05,374.9,11.99
2021-06-19 22:00:11,402.5,11.99
2021-06-19 22:30:08,395.7,11.99
2021-06-19 23:00:05,406.8,11.98
2021-06-19 23:30:11,413.2,11.99
2021-06-20 00:00:08,451.4,11.98
2021-06-20 00:30:05,452,11.98
2021-06-20 01:00:11,471.3,11.98
2021-06-20 01:30:08,469,11.98
2021-06-20 02:00:05,526.5,11.98
2021-06-20 02:30:11,611.9,11.98
2021-06-20 03:00:08,699.5,11.98
2021-06-20 03:30:05,638.8,11.98
2021-06-20 04:00:11,786.5,11.98
2021-06-20 04:30:08,897.8,11.98
2021-06-20 05:00:05,972,11.98
2021-06-20 05:30:11,1159.7,11.97
2021-06-20 06:00:08,1227.3,11.97
2021-06-20 06:30:05,1228.5,11.97
2021-06-20 07:00:11,1157.4,11.97
2021-06-20 07:30:08,1290.4,11.97
2021-06-20 08:00:05,1236.1,11.97
2021-06-20 08:30:11,1105.4,11.97
2021-06-20 09:00:08,1108.9,11.97
2021-06-20 09:30:05,1178,11.97
2021-06-20 10:00:11,1124.1,11.97
2021-06-20 10:30:08,1083.7,11.97
2021-06-20 11:00:05,1091,11.97
