Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
1.0417	20.50	35.00	0.0000	8.57	2021-01-01	00:59:59
1.0833	20.52	35.00	0.0000	8.56	2021-01-01	01:59:59
1.1250	19.62	35.00	0.0000	8.55	2021-01-01	02:59:59
1.1667	19.19	35.00	0.0000	8.53	2021-01-01	03:59:59
1.2083	19.14	35.00	0.0000	8.51	2021-01-01	04:59:59
1.2500	19.26	35.00	0.0000	8.50	2021-01-01	05:59:59
1.2917	19.57	35.00	0.0000	8.50	2021-01-01	06:59:59
1.3333	19.79	35.00	0.0000	8.51	2021-01-01	07:59:59
1.3750	19.91	35.00	0.0000	8.51	2021-01-01	08:59:59
1.4167	19.99	35.00	0.0000	8.52	2021-01-01	09:59:59
1.4583	20.04	35.00	0.0000	8.52	2021-01-01	10:59:59
1.5000	20.11	35.00	0.0000	8.52	2021-01-01	11:59:59
1.5417	20.16	35.00	0.0000	8.52	2021-01-01	12:59:59
1.5833	20.21	35.00	0.0000	8.52	2021-01-01	13:59:59
1.6250	20.28	35.00	0.0000	8.52	2021-01-01	14:59:59
1.6667	20.40	35.00	0.0000	8.52	2021-01-01	15:59:59
1.7083	20.52	35.00	-1.#IND	8.53	2021-01-01	16:59:59
1.7500	20.84	35.00	6.5000	8.53	2021-01-01	17:59:59
1.7917	21.06	35.00	-1.#IND	8.54	2021-01-01	18:59:59
1.8333	21.16	35.00	0.0000	8.55	2021-01-01	19:59:59
1.8750	21.14	35.00	0.0000	8.54	2021-01-01	20:59:59
1.9167	21.14	35.00	0.0000	8.55	2021-01-01	21:59:59
1.9583	21.06	35.00	0.0000	8.54	2021-01-01	22:59:59
2.0000	21.11	35.00	0.0000	8.54	2021-01-01	23:59:59
2.0417	21.09	35.00	0.0000	8.54	2021-01-02	00:59:59
2.0833	21.09	35.00	0.0000	8.54	2021-01-02	01:59:59
2.1250	19.99	35.00	-1.#IND	8.53	2021-01-02	02:59:59
2.1667	19.24	35.00	0.0000	8.50	2021-01-02	03:59:59
2.2083	19.29	35.00	0.0000	8.48	2021-01-02	04:59:59
2.2500	19.60	35.00	-1.#IND	8.47	2021-01-02	05:59:59
2.2917	19.91	35.00	-2.8241	8.47	2021-01-02	06:59:59
2.3333	20.13	35.00	6.9587	8.48	2021-01-02	07:59:59
2.3750	20.30	35.00	5.9128	8.49	2021-01-02	08:59:59
2.4167	20.45	35.00	0.0000	8.49	2021-01-02	09:59:59
2.4583	20.65	35.00	0.0000	8.50	2021-01-02	10:59:59
2.5000	20.77	35.00	0.0000	8.50	2021-01-02	11:59:59
2.5417	20.89	35.00	0.0000	8.51	2021-01-02	12:59:59
2.5833	20.99	35.00	-0.5084	8.52	2021-01-02	13:59:59
2.6250	21.02	35.00	0.0000	8.52	2021-01-02	14:59:59
2.6667	21.02	35.00	0.0000	8.52	2021-01-02	15:59:59
2.7083	21.04	35.00	0.0000	8.52	2021-01-02	16:59:59
2.7500	21.11	35.00	-1.#IND	8.52	2021-01-02	17:59:59
2.7917	21.61	35.00	-1.#IND	8.53	2021-01-02	18:59:59
2.8333	22.18	35.00	0.0000	8.55	2021-01-02	19:59:59
2.8750	21.98	35.00	10.1581	8.56	2021-01-02	20:59:59
