Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
162.5194					2021-06-11	12:27:55
127.4573	17.21	35.00	-1.#IND	11.59	2021-05-07	10:58:32
127.4990	19.74	35.00	-1.#IND	11.67	2021-05-07	11:58:31
127.5406	12.58	35.00	7.8887	11.68	2021-05-07	12:58:31
127.5823	12.74	35.00	0.0000	11.65	2021-05-07	13:58:31
127.6240	12.99	35.00	8.8994	11.65	2021-05-07	14:58:31
127.6656	13.33	35.00	9.2599	11.66	2021-05-07	15:58:31
127.7073	13.51	35.00	0.0000	11.67	2021-05-07	16:58:31
127.7490	14.06	35.00	0.0000	11.67	2021-05-07	17:58:31
127.7906	14.98	35.00	0.0000	11.69	2021-05-07	18:58:31
127.8323	15.84	35.00	8.7122	11.71	2021-05-07	19:58:31
127.8740	16.18	35.00	7.1305	11.72	2021-05-07	20:58:31
127.9156	15.00	35.00	9.9470	11.72	2021-05-07	21:58:31
127.9573	14.45	35.00	0.0000	11.72	2021-05-07	22:58:31
127.9990	14.24	35.00	0.0000	11.71	2021-05-07	23:58:31
128.0406	14.13	35.00	0.0000	11.71	2021-05-08	00:58:31
128.0823	14.02	35.00	9.1343	11.71	2021-05-08	01:58:31
128.1240	13.86	35.00	8.9090	11.70	2021-05-08	02:58:31
128.1656	13.79	35.00	9.4570	11.70	2021-05-08	03:58:31
128.2073	13.74	35.00	8.9464	11.70	2021-05-08	04:58:31
128.2490	13.72	35.00	8.5874	11.70	2021-05-08	05:58:31
128.2906	13.56	35.00	8.3966	11.69	2021-05-08	06:58:31
128.3323	13.72	35.00	8.4077	11.69	2021-05-08	07:58:31
128.3740	13.97	35.00	8.1964	11.69	2021-05-08	08:58:31
128.4156	13.49	35.00	8.0396	11.69	2021-05-08	09:58:31
128.4573	12.58	35.00	0.0000	11.68	2021-05-08	10:58:31
128.4990	12.56	35.00	0.0000	11.67	2021-05-08	11:58:31
128.5406	12.56	35.00	0.0000	11.67	2021-05-08	12:58:31
128.5823	12.47	35.00	0.0000	11.67	2021-05-08	13:58:31
128.6240	12.58	35.00	0.0000	11.66	2021-05-08	14:58:31
128.6656	12.54	35.00	0.0000	11.66	2021-05-08	15:58:31
128.7073	12.61	35.00	0.0000	11.66	2021-05-08	16:58:31
128.7490	12.79	35.00	0.0000	11.66	2021-05-08	17:58:31
128.7906	13.01	35.00	0.0000	11.65	2021-05-08	18:58:31
128.8323	13.45	35.00	0.0000	11.66	2021-05-08	19:58:31
128.8740	13.86	35.00	0.0000	11.66	2021-05-08	20:58:31
128.9156	13.86	35.00	0.0000	11.66	2021-05-08	21:58:31
128.9573	12.67	35.00	0.0000	11.65	2021-05-08	22:58:31
128.9990	12.31	35.00	0.0000	11.65	2021-05-08	23:58:31
129.0406	12.25	35.00	0.0000	11.63	2021-05-09	00:58:31
129.0823	12.22	35.00	0.0000	11.63	2021-05-09	01:58:31
129.1240	12.22	35.00	0.0000	11.63	2021-05-09	02:58:31
129.1656	12.40	35.00	0.0000	11.62	2021-05-09	03:58:31
129.2073	12.29	35.00	0.0000	11.62	2021-05-09	04:58:31
129.2490	12.06	35.00	0.0000	11.62	2021-05-09	05:58:31
129.2906	11.88	35.00	0.0000	11.61	2021-05-09	06:58:31
129.3323	11.82	35.00	0.0000	11.61	2021-05-09	07:58:31
129.3740	12.11	35.00	0.0000	11.61	2021-05-09	08:58:31
129.4156	12.40	35.00	0.0000	11.60	2021-05-09	09:58:31
129.4573	12.43	35.00	0.0000	11.60	2021-05-09	10:58:31
129.4990	12.09	35.00	0.0000	11.60	2021-05-09	11:58:31
129.5406	12.20	35.00	0.0000	11.60	2021-05-09	12:58:31
129.5823	12.36	35.00	0.0000	11.59	2021-05-09	13:58:31
129.6240	12.52	35.00	0.0000	11.59	2021-05-09	14:58:31
129.6656	12.74	35.00	0.0000	11.59	2021-05-09	15:58:31
129.7073	13.06	35.00	0.0000	11.59	2021-05-09	16:58:31
129.7490	13.47	35.00	0.0000	11.59	2021-05-09	17:58:31
129.7906	13.70	35.00	0.0000	11.59	2021-05-09	18:58:31
129.8323	14.22	35.00	0.0000	11.60	2021-05-09	19:58:31
129.8740	14.63	35.00	0.0000	11.60	2021-05-09	20:58:31
129.9156	14.70	35.00	0.0000	11.60	2021-05-09	21:58:31
129.9573	13.95	35.00	0.0000	11.60	2021-05-09	22:58:31
129.9990	13.67	35.00	0.0000	11.59	2021-05-09	23:58:31
