Year Day	Temperature C	SalinityConst	pHConstSal	Battery Voltage	DateStr	TimeStr
220.6250	23.19	35.00	7.8263	10.80	2019-08-08	15:00:00
220.6667	23.65	35.00	7.7761	10.81	2019-08-08	15:59:59
220.7083	24.50	35.00	7.8447	10.82	2019-08-08	16:59:59
220.7500	25.60	35.00	7.9054	10.83	2019-08-08	17:59:59
220.7917	26.43	35.00	7.8768	10.84	2019-08-08	18:59:59
220.8333	26.53	35.00	7.8856	10.85	2019-08-08	19:59:59
220.8750	22.91	35.00	7.8775	10.84	2019-08-08	20:59:59
220.9167	23.63	35.00	7.8936	10.83	2019-08-08	21:59:59
220.9583	22.16	35.00	7.9687	10.82	2019-08-08	22:59:59
221.0000	22.23	35.00	7.9255	10.81	2019-08-08	23:59:59
221.0417	23.47	35.00	7.8974	10.81	2019-08-09	00:59:59
221.0833	23.27	35.00	7.9249	10.82	2019-08-09	01:59:59
221.1250	23.14	35.00	7.9545	10.82	2019-08-09	02:59:59
221.1667	23.04	35.00	7.9394	10.81	2019-08-09	03:59:59
221.2083	22.94	35.00	7.9923	10.81	2019-08-09	04:59:59
221.2500	22.84	35.00	7.9681	10.81	2019-08-09	05:59:59
221.2917	22.64	35.00	7.9292	10.81	2019-08-09	06:59:59
221.3333	22.46	35.00	7.9206	10.81	2019-08-09	07:59:59
221.3750	22.28	35.00	7.9180	10.80	2019-08-09	08:59:59
221.4167	20.47	35.00	7.7322	10.79	2019-08-09	09:59:59
221.4583	20.72	35.00	7.7122	10.78	2019-08-09	10:59:59
221.5000	21.09	35.00	7.7093	10.78	2019-08-09	11:59:59
221.5417	21.31	35.00	7.7086	10.78	2019-08-09	12:59:59
221.5833	21.88	35.00	7.7981	10.79	2019-08-09	13:59:59
221.6250	23.09	35.00	7.8936	10.80	2019-08-09	14:59:59
221.6667	23.99	35.00	7.9163	10.81	2019-08-09	15:59:59
221.7083	24.63	35.00	7.9400	10.82	2019-08-09	16:59:59
221.7500	25.89	35.00	7.9434	10.83	2019-08-09	17:59:59
221.7917	26.56	35.00	7.8934	10.84	2019-08-09	18:59:59
221.8333	27.10	35.00	7.9224	10.85	2019-08-09	19:59:59
221.8750	27.46	35.00	7.9176	10.85	2019-08-09	20:59:59
221.9167	23.57	35.00	7.9502	10.84	2019-08-09	21:59:59
221.9583	24.17	35.00	7.9899	10.83	2019-08-09	22:59:59
222.0000	23.12	35.00	7.9988	10.82	2019-08-09	23:59:59
222.0417	24.27	35.00	7.9486	10.81	2019-08-10	00:59:59
222.0833	24.11	35.00	7.9247	10.82	2019-08-10	01:59:59
222.1250	23.93	35.00	7.9403	10.81	2019-08-10	02:59:59
222.1667	23.63	35.00	7.9257	10.81	2019-08-10	03:59:59
222.2083	23.47	35.00	7.9907	10.81	2019-08-10	04:59:59
222.2500	23.34	35.00	7.9996	10.80	2019-08-10	05:59:59
222.2917	23.12	35.00	7.9284	10.81	2019-08-10	06:59:59
222.3333	22.81	35.00	7.9357	10.80	2019-08-10	07:59:59
222.3750	22.56	35.00	7.9109	10.80	2019-08-10	08:59:59
222.4167	22.28	35.00	7.8536	10.80	2019-08-10	09:59:59
222.4583	20.43	35.00	7.7773	10.78	2019-08-10	10:59:59
222.5000	20.60	35.00	7.7367	10.77	2019-08-10	11:59:59
222.5417	21.21	35.00	7.7250	10.77	2019-08-10	12:59:59
222.5833	21.53	35.00	7.7275	10.77	2019-08-10	13:59:59
222.6250	22.48	35.00	7.7755	10.78	2019-08-10	14:59:59
222.6667	23.12	35.00	7.7929	10.78	2019-08-10	15:59:59
222.7083	24.06	35.00	7.8345	10.79	2019-08-10	16:59:59
222.7500	24.53	35.00	7.8728	10.80	2019-08-10	17:59:59
222.7917	24.79	35.00	7.9353	10.81	2019-08-10	18:59:59
222.8333	24.71	35.00	7.8477	10.81	2019-08-10	19:59:59
222.8750	24.81	35.00	7.8398	10.81	2019-08-10	20:59:59
222.9167	24.63	35.00	7.8799	10.81	2019-08-10	21:59:59
222.9583	22.48	35.00	7.9233	10.80	2019-08-10	22:59:59
223.0000	23.07	35.00	8.0124	10.79	2019-08-10	23:59:59
223.0417	22.66	35.00	7.9783	10.79	2019-08-11	00:59:59
223.0833	22.94	35.00	7.9105	10.78	2019-08-11	01:59:59
223.1250	22.76	35.00	7.8922	10.78	2019-08-11	02:59:59
223.1667	22.58	35.00	7.9343	10.78	2019-08-11	03:59:59
223.2083	22.43	35.00	7.9468	10.78	2019-08-11	04:59:59
223.2500	22.08	35.00	7.9361	10.78	2019-08-11	05:59:59
223.2917	21.81	35.00	7.9487	10.77	2019-08-11	06:59:59
223.3333	21.48	35.00	7.8894	10.77	2019-08-11	07:59:59
