Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out
169.6459,21.61,807.4,12.0,2021-06-18 15:30:05,11.65237,2021-06-18 15:16:34,28.03,1939.438,1.3702077730047098
169.6668,21.71,601.7,11.99,2021-06-18 16:00:11,11.65237,2021-06-18 15:46:34,27.97,1936.162,1.7234086915061262
169.6876,22.06,617.2,11.99,2021-06-18 16:30:08,11.65237,2021-06-18 16:16:34,27.661,1919.2906,1.6626259989849557
169.7084,21.91,628.6,11.99,2021-06-18 17:00:05,11.65237,2021-06-18 16:46:34,26.799,1872.2254,1.549518799497342
169.7293,22.28,652.2,11.99,2021-06-18 17:30:11,11.65237,2021-06-18 17:16:34,26.219,1840.5574,1.4538648237443335
169.7501,22.21,591.9,11.99,2021-06-18 18:00:08,11.65237,2021-06-18 17:46:34,25.983,1827.6718,1.5435612592380852
169.7709,22.48,458.0,11.99,2021-06-18 18:30:05,11.65237,2021-06-18 18:16:34,25.038,1776.0748,1.7661732291844465
169.7918,22.48,456.4,11.99,2021-06-18 19:00:11,11.65237,2021-06-18 18:46:34,24.277,1734.5242,1.683071759137223
169.8126,22.53,446.8,12.0,2021-06-18 19:30:08,11.65237,2021-06-18 18:46:34,24.277,1734.5242,1.7106778808849188
169.8543,22.46,377.4,12.0,2021-06-18 20:30:11,11.65237,2021-06-18 21:16:34,28.353,1957.0738,2.4825767003334493
169.8751,22.26,345.9,11.99,2021-06-18 21:00:08,11.65237,2021-06-18 21:16:34,28.353,1957.0738,2.627567428640973
169.8959,22.21,334.5,11.99,2021-06-18 21:30:05,11.65237,2021-06-18 21:16:34,28.353,1957.0738,2.685061751578658
169.9168,22.21,348.3,11.99,2021-06-18 22:00:11,11.65237,2021-06-18 21:46:34,27.89,1931.794,2.5468051145562147
169.9376,22.03,346.2,11.99,2021-06-18 22:30:08,11.65237,2021-06-18 22:16:34,27.051,1885.9846,2.432197976503723
169.9584,21.83,353.8,11.99,2021-06-18 23:00:05,11.65237,2021-06-18 22:46:34,25.845,1820.137,2.2247796305079963
169.9793,21.71,333.6,11.99,2021-06-18 23:30:11,11.65237,2021-06-18 23:16:34,24.56,1749.976,2.134424989219489
170.0001,21.58,342.6,11.99,2021-06-19 00:00:08,11.65237,2021-06-19 00:16:34,28.373,1958.1658,2.6345471823772835
170.0209,21.44,397.1,11.99,2021-06-19 00:30:05,11.65237,2021-06-19 00:16:34,28.373,1958.1658,2.383065373304802
170.0418,21.53,439.0,11.99,2021-06-19 01:00:11,11.65237,2021-06-19 00:46:34,27.033,1885.0018,2.0522182660999966
170.0626,21.31,463.6,11.99,2021-06-19 01:30:08,11.65237,2021-06-19 01:16:34,26.44,1852.624,1.8979215410852168
170.0834,21.04,492.9,11.99,2021-06-19 02:00:05,11.65237,2021-06-19 01:46:34,26.094,1833.7324,1.7702887565221104
170.1043,20.92,622.8,11.99,2021-06-19 02:30:11,11.65237,2021-06-19 02:16:34,25.387,1795.1302,1.4088588714041026
170.1251,20.87,682.6,11.98,2021-06-19 03:00:08,11.65237,2021-06-19 02:46:34,24.795,1762.807,1.2555719305987105
170.1459,20.77,717.6,11.98,2021-06-19 03:30:05,11.65237,2021-06-19 03:16:34,24.578,1750.9588,1.1856831942932509
170.1668,20.77,788.2,11.98,2021-06-19 04:00:11,11.65237,2021-06-19 03:46:34,27.502,1910.6092,1.3402033988618511
170.1876,21.06,762.9,11.98,2021-06-19 04:30:08,11.65237,2021-06-19 04:16:34,27.373,1903.5658,1.3682748497852237
170.2084,20.72,769.2,11.98,2021-06-19 05:00:05,11.65237,2021-06-19 04:46:34,27.259,1897.3414,1.344950748573195
170.2293,20.77,759.8,11.98,2021-06-19 05:30:11,11.65237,2021-06-19 05:16:34,27.28,1898.488,1.3609559234861075
170.2501,20.67,766.4,11.98,2021-06-19 06:00:08,11.65237,2021-06-19 05:46:34,27.205,1894.393,1.3435721948141015
170.2709,20.79,815.4,11.98,2021-06-19 06:30:05,11.65237,2021-06-19 06:16:34,28.724,1977.3304,1.4102949275772976
170.2918,20.74,825.1,11.98,2021-06-19 07:00:11,11.65237,2021-06-19 06:46:34,28.809,1981.9714,1.4036773208632032
170.3126,20.72,833.6,11.98,2021-06-19 07:30:08,11.65237,2021-06-19 07:16:34,28.859,1984.7014,1.3961445539898454
170.3334,20.82,854.0,11.98,2021-06-19 08:00:05,11.65237,2021-06-19 07:46:34,28.891,1986.4486,1.3727906128971494
170.3543,20.89,813.1,11.98,2021-06-19 08:30:11,11.65237,2021-06-19 08:16:34,28.979,1991.2534,1.4375836062155598
170.3751,21.06,780.5,11.98,2021-06-19 09:00:08,11.65237,2021-06-19 08:46:34,29.092,1997.4232,1.4984641356623076
170.3959,21.04,735.9,11.98,2021-06-19 09:30:05,11.65237,2021-06-19 09:16:34,29.12,1998.952,1.5728773486278131
170.4168,20.99,744.3,11.98,2021-06-19 10:00:11,11.65237,2021-06-19 09:16:34,29.12,1998.952,1.558129297490995
170.4584,20.97,757.7,11.98,2021-06-19 11:00:05,11.65237,2021-06-19 11:46:34,29.222,2004.5212,1.5455708239704042
170.4793,20.99,765.3,11.98,2021-06-19 11:30:11,11.65237,2021-06-19 11:46:34,29.222,2004.5212,1.5335777313587593
170.5001,20.89,798.7,11.98,2021-06-19 12:00:08,11.65237,2021-06-19 11:46:34,29.222,2004.5212,1.4806830702393854
170.5209,20.79,842.5,11.98,2021-06-19 12:30:05,11.65237,2021-06-19 12:16:34,29.082,1996.8772,1.4044662685100853
170.5418,20.97,896.5,11.98,2021-06-19 13:00:11,11.65237,2021-06-19 12:46:34,28.983,1991.4718,1.3285014987994699
170.5626,21.21,885.1,11.98,2021-06-19 13:30:08,11.65237,2021-06-19 13:16:34,28.941,1989.1786,1.341941672237699
170.5834,21.41,872.8,11.98,2021-06-19 14:00:05,11.65237,2021-06-19 13:46:34,28.894,1986.6124,1.3558948241534665
170.6043,21.46,848.9,11.98,2021-06-19 14:30:11,11.65237,2021-06-19 14:16:34,28.783,1980.5518,1.3780127414238725
170.6251,21.61,801.4,11.99,2021-06-19 15:00:08,11.65237,2021-06-19 14:46:34,28.69,1975.474,1.4374841663693536
170.6459,21.81,736.4,11.99,2021-06-19 15:30:05,11.65237,2021-06-19 15:16:34,28.713,1976.7298,1.5430724564602853
170.6668,22.03,698.3,11.99,2021-06-19 16:00:11,11.65237,2021-06-19 15:46:34,28.633,1972.3618,1.6041713750360862
170.6876,22.23,674.3,11.99,2021-06-19 16:30:08,11.65237,2021-06-19 15:46:34,28.633,1972.3618,1.6513927096968324
170.8126,22.84,382.3,11.99,2021-06-19 19:30:08,11.65237,2021-06-19 20:16:34,28.132,1945.0072,2.4368239587423304
170.8334,22.79,418.3,11.99,2021-06-19 20:00:05,11.65237,2021-06-19 20:16:34,28.132,1945.0072,2.2896374738034297
170.8543,22.69,439.4,11.99,2021-06-19 20:30:11,11.65237,2021-06-19 20:16:34,28.132,1945.0072,2.2102975497208988
170.8751,22.48,419.9,11.99,2021-06-19 21:00:08,11.65237,2021-06-19 20:46:34,27.931,1934.0326,2.251538724178056
170.8959,22.36,374.9,11.99,2021-06-19 21:30:05,11.65237,2021-06-19 21:16:34,27.697,1921.2562,2.399476083962034
170.9168,22.31,402.5,11.99,2021-06-19 22:00:11,11.65237,2021-06-19 21:16:34,27.697,1921.2562,2.284266885203013
171.0626,21.88,469.0,11.98,2021-06-20 01:30:08,11.65237,2021-06-20 02:16:34,28.597,1970.3962,2.155316785294447
171.0834,21.78,526.5,11.98,2021-06-20 02:00:05,11.65237,2021-06-20 02:16:34,28.597,1970.3962,1.9802525306807486
171.1043,21.44,611.9,11.98,2021-06-20 02:30:11,11.65237,2021-06-20 02:16:34,28.597,1970.3962,1.7643428929499134
171.1251,21.61,699.5,11.98,2021-06-20 03:00:08,11.65237,2021-06-20 02:46:34,28.28,1953.088,1.561661863154231
171.1459,21.58,638.8,11.98,2021-06-20 03:30:05,11.65237,2021-06-20 03:16:34,28.381,1958.6026,1.68646251366027
171.1668,21.31,786.5,11.98,2021-06-20 04:00:11,11.65237,2021-06-20 03:46:34,27.947,1934.9062,1.3885271465824047
171.1876,21.26,897.8,11.98,2021-06-20 04:30:08,11.65237,2021-06-20 04:16:34,28.055,1940.803,1.2536430192962646
171.2084,20.97,972.0,11.98,2021-06-20 05:00:05,11.65237,2021-06-20 04:46:34,27.934,1934.1964,1.1604322412511818
171.2293,21.09,1159.7,11.97,2021-06-20 05:30:11,11.65237,2021-06-20 05:16:34,27.534,1912.3564,0.9719375621716277
171.2501,20.89,1227.3,11.97,2021-06-20 06:00:08,11.65237,2021-06-20 05:46:34,27.881,1931.3026,0.9448531902867943
171.2709,21.09,1228.5,11.97,2021-06-20 06:30:05,11.65237,2021-06-20 06:16:34,28.074,1941.8404,0.9584652707552419
171.2918,21.26,1157.4,11.97,2021-06-20 07:00:11,11.65237,2021-06-20 06:46:34,27.509,1910.9914,0.9737423135920698
171.3126,21.16,1290.4,11.97,2021-06-20 07:30:08,11.65237,2021-06-20 07:16:34,28.23,1950.358,0.9282786033684031
171.3334,21.06,1236.1,11.97,2021-06-20 08:00:05,11.65237,2021-06-20 07:46:34,28.07,1941.622,0.9527276561729409
171.3543,21.04,1105.4,11.97,2021-06-20 08:30:11,11.65237,2021-06-20 08:16:34,28.411,1960.2406,1.0737795562330774
171.3751,20.89,1108.9,11.97,2021-06-20 09:00:08,11.65237,2021-06-20 08:46:34,28.861,1984.8106,1.1011582341523742
