Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
169.6459,21.61,807.4,12.0,2021-06-18 15:30:05,11.65237,2021-06-18 15:16:34,28.03,1939.438,1.3702077730047098,1.4591666756418413,1.4233024930776457,1.3723974176432876,1.5025019258757444
169.6668,21.71,601.7,11.99,2021-06-18 16:00:11,11.65237,2021-06-18 15:46:34,27.97,1936.162,1.7234086915061262,1.839976696816176,1.7858727201208788,1.7259225401018332,1.8811242468053557
169.6876,22.06,617.2,11.99,2021-06-18 16:30:08,11.65237,2021-06-18 16:16:34,27.661,1919.2906,1.6626259989849557,1.7978118349392678,1.722779289030493,1.6648985391727202,1.815593893250823
169.7084,21.91,628.6,11.99,2021-06-18 17:00:05,11.65237,2021-06-18 16:46:34,26.799,1872.2254,1.549518799497342,1.7551133505892387,1.6055310322605307,1.5515187285585545,1.6916157798038467
169.7293,22.28,652.2,11.99,2021-06-18 17:30:11,11.65237,2021-06-18 17:16:34,26.219,1840.5574,1.4538648237443335,1.7099925086371366,1.506129407476342,1.4555323626685766,1.5875725230193334
169.7501,22.21,591.9,11.99,2021-06-18 18:00:08,11.65237,2021-06-18 17:46:34,25.983,1827.6718,1.5435612592380852,1.848783147653932,1.5977962378742048,1.5452506425762496,1.6825926687679778
169.7709,22.48,458.0,11.99,2021-06-18 18:30:05,11.65237,2021-06-18 18:16:34,25.038,1776.0748,1.7661732291844465,2.3062712357996724,1.8236251672218629,1.767618998050637,1.9157554714004428
169.7918,22.48,456.4,11.99,2021-06-18 19:00:11,11.65237,2021-06-18 18:46:34,24.277,1734.5242,1.683071759137223,2.4108759247018843,1.7369598233579295,1.6842233154145212,1.8238272224356946
169.8126,22.53,446.8,12.0,2021-06-18 19:30:08,11.65237,2021-06-18 18:46:34,24.277,1734.5242,1.7106778808849188,2.450253884329708,1.7651386845335604,1.7118234578891636,1.853153333301585
169.8543,22.46,377.4,12.0,2021-06-18 20:30:11,11.65237,2021-06-18 21:16:34,28.353,1957.0738,2.4825767003334493,2.6059871939991233,2.5621294070646043,2.4855837133835315,2.6882661913465378
