Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out
137.6701,16.23,35.0,7.9753,11.5,2022-05-17,16:05:00,2022-05-17 16:04:56,11.65237,5/17/2022 16:00,29.2,2003.32,1.6851370767784466
137.7118,16.44,35.0,7.9954,11.61,2022-05-17,17:04:59,2022-05-17 17:04:59,11.65237,5/17/2022 17:00,29.0,1992.4,1.7410064470462385
137.7535,16.56,35.0,7.999,11.66,2022-05-17,18:04:59,2022-05-17 18:05:02,11.65237,5/17/2022 18:00,29.3,2008.78,1.7811842109786018
137.7951,16.37,35.0,8.0095,11.69,2022-05-17,19:04:59,2022-05-17 19:04:56,11.65237,5/17/2022 19:00,30.2,2057.92,1.8970230749601744
137.9201,18.14,35.0,7.9473,11.74,2022-05-17,22:04:59,2022-05-17 22:04:56,11.65237,5/17/2022 22:00,30.5,2074.3,1.7170769639162051
137.9618,18.85,35.0,7.8194,11.76,2022-05-17,23:04:59,2022-05-17 23:04:59,11.65237,5/17/2022 23:00,30.8,2090.68,1.340996753998792
138.0035,19.07,35.0,7.6552,11.77,2022-05-18,00:04:59,2022-05-18 00:05:02,11.65237,5/18/2022 0:00,31.0,2101.6,0.9492722289928769
138.0451,17.99,35.0,7.8584,11.78,2022-05-18,01:04:59,2022-05-18 01:04:56,11.65237,5/18/2022 1:00,31.1,2107.06,1.4667534861026454
138.0868,16.7,35.0,7.9779,11.77,2022-05-18,02:04:59,2022-05-18 02:04:59,11.65237,5/18/2022 2:00,31.0,2101.6,1.851579620099505
138.1285,16.39,35.0,7.9926,11.76,2022-05-18,03:04:59,2022-05-18 03:05:02,11.65237,5/18/2022 3:00,30.9,2096.14,1.8947108774848647
138.1701,16.23,35.0,7.9815,11.76,2022-05-18,04:04:59,2022-05-18 04:04:56,11.65237,5/18/2022 4:00,30.7,2085.22,1.8335901617875565
138.2118,15.72,35.0,7.9783,11.76,2022-05-18,05:04:59,2022-05-18 05:04:59,11.65237,5/18/2022 5:00,30.5,2074.3,1.7986006391773772
138.2535,14.96,35.0,7.9825,11.75,2022-05-18,06:04:59,2022-05-18 06:05:02,11.65237,5/18/2022 6:00,30.0,2047.0,1.7626040573460586
138.2951,14.41,35.0,7.9788,11.74,2022-05-18,07:04:59,2022-05-18 07:04:56,11.65237,5/18/2022 7:00,30.1,2052.46,1.7514662732578723
138.3368,14.43,35.0,7.9727,11.74,2022-05-18,08:04:59,2022-05-18 08:04:59,11.65237,5/18/2022 8:00,30.1,2052.46,1.729937566202926
138.3785,14.93,35.0,7.9452,11.74,2022-05-18,09:04:59,2022-05-18 09:05:02,11.65237,5/18/2022 9:00,30.0,2047.0,1.6321414523066942
138.4201,15.28,35.0,7.8813,11.74,2022-05-18,10:04:59,2022-05-18 10:04:56,11.65237,5/18/2022 10:00,30.2,2057.92,1.445095844449932
138.4618,15.35,35.0,7.7523,11.74,2022-05-18,11:04:59,2022-05-18 11:04:59,11.65237,5/18/2022 11:00,30.6,2079.76,1.1152504801051693
138.5035,15.77,35.0,7.5708,11.74,2022-05-18,12:04:59,2022-05-18 12:05:02,11.65237,5/18/2022 12:00,30.8,2090.68,0.7502049934575931
