Year Day,Temperature C,SalinityConst,pHConstSal,Battery Voltage,DateStr,TimeStr,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated),Saturation Aragonite Out,Saturation Aragonite Out (MCHP73),"Saturation Aragonite Out (H73a,H73b,MCHP73)",Saturation Aragonite Out (MCHP73 refit),Saturation Aragonite Out (RRV93)
143.6597,16.65,35.0,8.07,11.53,2023-05-23,15:50:00,2023-05-23 15:49:58,11.65237,5/23/2023 15:45,30.6,2079.76,2.1827445621124286,2.123030115014488,2.2380609685528117,2.1867360817940362,2.365733952157139
143.7014,17.05,35.0,8.1393,11.56,2023-05-23,16:50:00,2023-05-23 16:50:00,11.65237,5/23/2023 16:45,30.6,2079.76,2.4999479895629757,2.432771125432329,2.5609401685406947,2.5043272427407963,2.704729873139193
143.7431,17.31,35.0,8.1252,11.58,2023-05-23,17:50:00,2023-05-23 17:50:03,11.65237,5/23/2023 17:45,30.7,2085.22,2.4489007590182026,2.378083512892004,2.5088788129656105,2.4532571752544934,2.650910373125662
143.7847,17.38,35.0,8.1175,11.59,2023-05-23,18:50:00,2023-05-23 18:49:58,11.65237,5/23/2023 18:45,30.7,2085.22,2.414299016925616,2.3439942073238393,2.4736123358813917,2.418601295639894,2.614186793940991
143.8264,17.4,35.0,8.1621,11.59,2023-05-23,19:50:00,2023-05-23 19:50:00,11.65237,5/23/2023 19:45,30.7,2085.22,2.626669068755091,2.5517417203017825,2.689763910955965,2.631244030974961,2.8401857165684308
143.8681,17.5,35.0,8.1968,11.6,2023-05-23,20:50:00,2023-05-23 20:50:03,11.65237,5/23/2023 20:45,30.6,2079.76,2.790170717510888,2.71576284748331,2.85597978042542,2.7948558397804995,3.0138900021155637
143.9097,17.57,35.0,8.0846,11.6,2023-05-23,21:50:00,2023-05-23 21:49:58,11.65237,5/23/2023 21:45,30.5,2074.3,2.24851368067864,2.188340389790714,2.304596220541615,2.252435429102859,2.437686904391678
143.9514,17.54,35.0,8.0717,11.61,2023-05-23,22:50:00,2023-05-23 22:50:00,11.65237,5/23/2023 22:45,30.4,2068.84,2.18237911030349,2.127274840945107,2.2371987360625547,2.186151688762351,2.3669636297877292
143.9931,17.54,35.0,8.0459,11.61,2023-05-23,23:50:00,2023-05-23 23:50:03,11.65237,5/23/2023 23:45,30.3,2063.38,2.0651467493489943,2.0158142472712277,2.117695551292471,2.0687031710011503,2.2415401545501745
144.0347,17.64,35.0,7.9534,11.61,2023-05-24,00:50:00,2023-05-24 00:49:58,11.65237,5/24/2023 0:45,30.3,2063.38,1.716103164473236,1.6725591870860617,1.7617046058384584,1.7191910804029504,1.8670710860164021
