Year Day,Temperature C,CO2,Battery,Date (UTC),Depth (dbar),Sal/TA Date (UTC),Salinity,TA (Approximated)
166.6876,12.4,548.4,12.0,2018-06-15 16:30:08,11.65237,6/15/2018 16:30,30.104,2052.6784
166.7084,12.04,545.8,11.98,2018-06-15 17:00:05,11.65237,6/15/2018 17:00,30.077,2051.2042
166.7293,12.13,531.0,11.97,2018-06-15 17:30:11,11.65237,6/15/2018 17:30,30.196,2057.7016
166.7501,12.22,522.8,11.96,2018-06-15 18:00:08,11.65237,6/15/2018 18:00,30.112,2053.1152
166.7709,12.67,520.4,11.96,2018-06-15 18:30:05,11.65237,6/15/2018 18:30,30.075,2051.095
166.7918,12.65,525.7,11.96,2018-06-15 19:00:11,11.65237,6/15/2018 19:00,30.103,2052.6238
166.8126,12.74,519.7,11.96,2018-06-15 19:30:08,11.65237,6/15/2018 19:30,30.082,2051.4772
166.8334,12.86,510.0,11.96,2018-06-15 20:00:05,11.65237,6/15/2018 20:00,30.104,2052.6784
166.8543,12.79,508.7,11.96,2018-06-15 20:30:11,11.65237,6/15/2018 20:30,30.061,2050.3306
166.8751,12.74,506.9,11.96,2018-06-15 21:00:08,11.65237,6/15/2018 21:00,30.136,2054.4256
166.8959,12.77,507.1,11.96,2018-06-15 21:30:05,11.65237,6/15/2018 21:30,30.115,2053.279
166.9168,12.65,506.0,11.96,2018-06-15 22:00:11,11.65237,6/15/2018 22:00,30.079,2051.3134
166.9376,13.26,516.8,11.96,2018-06-15 22:30:08,11.65237,6/15/2018 22:30,30.08,2051.368
166.9584,12.58,492.4,11.96,2018-06-15 23:00:05,11.65237,6/15/2018 23:00,30.098,2052.3508
166.9793,12.11,499.5,11.96,2018-06-15 23:30:11,11.65237,6/15/2018 23:30,30.103,2052.6238
167.0001,12.83,500.7,11.95,2018-06-16 00:00:08,11.65237,6/16/2018 0:00,30.104,2052.6784
167.0209,12.61,507.0,11.96,2018-06-16 00:30:05,11.65237,6/16/2018 0:30,30.046,2049.5116
167.0418,12.4,503.4,11.96,2018-06-16 01:00:11,11.65237,6/16/2018 1:00,30.113,2053.1698
167.0626,13.01,511.8,11.96,2018-06-16 01:30:08,11.65237,6/16/2018 1:30,30.035,2048.911
167.0834,12.29,509.3,11.96,2018-06-16 02:00:05,11.65237,6/16/2018 2:00,30.068,2050.7128
