	Date	Wind Speed (mph)	Rainfall (in)
0	2021-06-18	8.4	0.0
1	2021-06-19	12.0	0.0
2	2021-06-20	7.5	0.01
3	2021-06-21	8.5	0.0
4	2021-06-22	7.5	0.18
5	2021-06-23	6.7	0.01
6	2021-06-24	1.8	0.0
7	2021-06-25	6.7	0.1
8	2021-06-26	10.5	0.0
9	2021-06-27	12.5	0.0
10	2021-06-28	11.6	0.0
11	2021-06-29	9.8	0.0
12	2021-07-01	4.7	0.25
13	2021-07-02	4.8	0.14
14	2021-07-03	4.2	0.94
15	2021-07-04	4.4	0.06
16	2021-07-05	3.5	0.0
17	2021-07-06	12.3	0.04
18	2021-07-07	6.9	0.0
19	2021-07-08	2.4	0.0
20	2021-07-09	7.2	0.69
21	2021-07-10	3.7	0.0
22	2021-07-11	4.2	0.0
23	2021-07-12	2.2	0.1
24	2021-07-13	1.3	0.0
25	2021-07-14	3.7	0.0
26	2021-07-15	5.9	0.0
27	2021-07-16	9.3	0.0
28	2021-07-17	3.6	0.0
29	2021-07-18	8.1	0.02
30	2021-07-19	7.1	0.03
31	2021-07-20	5.3	0.0
32	2021-07-21	3.0	0.0
33	2021-07-22	5.8	0.0
34	2021-07-23	3.1	0.0
35	2021-07-24	3.1	0.0
36	2021-07-25	8.5	0.01
37	2021-07-26	6.8	0.0
38	2021-07-27	5.1	0.0
39	2021-07-28	2.9	0.0
40	2021-07-29	5.0	0.05
41	2021-07-30	7.9	0.11
42	2021-07-31	8.2	0.0
43	2021-08-01	2.8	0.0
44	2021-08-02	2.8	0.0
45	2021-08-03	1.3	0.0
46	2021-08-04	1.3	0.2
47	2021-08-05	5.3	1.37
48	2021-08-06	8.0	0.01
49	2021-08-07	7.2	0.0
50	2021-08-08	4.1	0.0
51	2021-08-09	1.0	2.17
52	2021-08-10	6.2	0.01
53	2021-08-11	11.7	0.05
54	2021-08-12	10.2	0.0
55	2021-08-13	5.9	0.0
56	2021-08-14	4.9	0.01
57	2021-08-15	3.4	0.0
58	2021-08-16	2.9	0.0
59	2021-08-17	7.0	0.0
60	2021-08-18	5.7	0.0
61	2021-08-19	6.1	0.07
62	2021-08-20	8.0	0.0
63	2021-08-21	3.1	0.0
64	2021-08-22	4.3	0.15
65	2021-08-23	2.9	0.75
66	2021-08-24	7.4	0.02
67	2021-08-25	3.5	0.0
68	2021-08-26	5.6	0.0
69	2021-08-27	2.1	0.0
70	2021-08-28	2.8	0.0
71	2021-08-29	1.1	0.26
72	2021-08-30	8.3	0.0
73	2021-08-31	4.8	0.0
74	2021-09-01	2.9	1.78
75	2021-09-02	8.0	1.44
76	2021-09-03	5.1	0.0
77	2021-09-04	6.6	0.0
78	2021-09-05	7.0	0.0
79	2021-09-06	9.9	0.02
80	2021-09-07	8.8	0.0
81	2021-09-08	6.5	0.0
82	2021-09-09	2.1	1.8
83	2021-09-10	6.8	0.1
84	2021-09-11	9.1	0.0
85	2021-09-12	15.9	0.0
86	2021-09-13	4.8	0.0
87	2021-09-14	1.0	0.0
88	2021-09-15	8.4	0.0
89	2021-09-16	3.9	0.52
90	2021-09-17	2.9	0.03
91	2021-09-18	4.1	0.01
92	2021-09-19	4.8	0.23
93	2021-09-20	1.3	0.0
94	2021-09-21	1.0	0.03
95	2021-09-22	1.6	0.01
96	2021-09-23	1.6	0.0
97	2021-09-24	3.1	0.0
98	2021-09-25	2.0	0.48
99	2021-09-26	6.3	1.18
100	2021-09-27	10.6	0.01
101	2021-09-28	9.0	0.27
102	2021-09-29	5.6	0.0
103	2021-10-01	4.4	0.0
104	2021-10-02	8.2	0.0
105	2021-10-03	2.3	0.01
106	2021-10-04	1.7	1.83
107	2021-10-05	4.9	0.09
108	2021-10-06	2.3	0.0
109	2021-10-07	2.6	0.0
110	2021-10-08	2.7	0.0
111	2021-10-09	1.7	0.0
112	2021-10-10	1.4	0.04
113	2021-10-11	2.6	0.0
114	2021-10-12	2.2	0.0
115	2021-10-13	4.5	0.0
116	2021-10-14	4.4	0.0
117	2021-10-15	2.3	0.0
118	2021-10-16	6.2	0.05
119	2021-10-17	9.6	0.03
120	2021-10-18	11.3	0.0
121	2021-10-19	10.1	0.0
122	2021-10-20	6.0	0.0
123	2021-10-21	6.4	0.0
124	2021-10-22	10.4	0.0
125	2021-10-23	4.8	0.0
126	2021-10-24	6.8	0.0
127	2021-10-25	2.8	0.44
128	2021-10-26	6.3	1.17
129	2021-10-28	4.3	0.01
130	2021-10-29	3.1	0.01
131	2021-10-30	3.2	0.15
132	2021-10-31	10.8	0.59
133	2021-11-01	7.7	0.02
134	2021-11-02	3.5	0.05
135	2021-11-03	6.4	0.01
136	2021-11-04	2.6	0.0
137	2021-11-05	4.0	0.0
138	2021-11-06	1.6	0.0
139	2021-11-07	1.3	0.0
140	2021-11-08	4.0	0.0
141	2021-11-09	3.2	0.0
142	2021-11-10	2.9	0.0
143	2021-11-11	1.7	0.0
144	2021-11-12	5.1	1.67
145	2021-11-13	4.6	0.06
146	2021-11-14	7.6	0.0
147	2021-11-15	9.0	0.01
148	2021-11-16	10.4	0.0
149	2021-11-17	2.7	0.0
150	2021-11-18	10.2	0.0
151	2021-11-19	11.9	0.0
152	2021-11-20	5.6	0.0
153	2021-11-21	2.0	0.0
154	2021-11-22	7.8	0.3
155	2021-11-23	11.6	0.0
156	2021-11-24	11.0	0.0
157	2021-11-25	5.1	0.34
158	2021-11-26	6.8	0.08
159	2021-11-27	12.8	0.0
160	2021-11-28	7.3	0.0
161	2021-11-30	7.2	0.0
162	2021-12-01	4.5	0.0
163	2021-12-02	4.0	0.0
164	2021-12-03	13.2	0.0
165	2021-12-04	4.5	0.0
166	2021-12-05	4.1	0.0
167	2021-12-06	11.5	0.06
168	2021-12-07	6.9	0.0
169	2021-12-08	0.0	0.0
