StationCode,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_Pct,F_DO_Pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,Level,F_Level,cLevel,F_cLevel,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 30,Datetime_Adjusted_UTC+1,Datetime_UTC,Datetime_UTC_Float64
wqbmpwq   ,P,06/10/2020 8:00,1,1,,20.1,<0> ,45.48,<0> ,29.5,<0> ,85.4,<0> ,6.5,<0> ,1.51,<0> ,1.46,<3> ,,<-1> ,,,7.7,<0> ,2.0,<0> ,4.6,<0> ,,2020-06-10 14:00:00,2020-06-10 13:00:00,1591794000.0
wqbmpwq   ,P,06/10/2020 8:15,1,1,,20.1,<0> ,45.67,<0> ,29.7,<0> ,86.6,<0> ,6.6,<0> ,1.48,<0> ,1.43,<3> ,,<-1> ,,,7.8,<0> ,3.0,<0> ,5.1,<0> ,,2020-06-10 14:15:00,2020-06-10 13:15:00,1591794900.0
wqbmpwq   ,P,06/10/2020 8:30,1,1,,20.2,<0> ,45.84,<0> ,29.8,<0> ,87.9,<0> ,6.7,<0> ,1.45,<0> ,1.4,<3> ,,<-1> ,,,7.8,<0> ,3.0,<0> ,4.6,<0> ,,2020-06-10 14:30:00,2020-06-10 13:30:00,1591795800.0
wqbmpwq   ,P,06/10/2020 8:45,1,1,,20.2,<0> ,45.79,<0> ,29.7,<0> ,89.2,<0> ,6.8,<0> ,1.42,<0> ,1.37,<3> ,,<-1> ,,,7.8,<0> ,3.0,<0> ,5.1,<0> ,,2020-06-10 14:45:00,2020-06-10 13:45:00,1591796700.0
wqbmpwq   ,P,06/10/2020 9:45,1,1,,20.4,<0> ,45.86,<0> ,29.8,<0> ,106.5,<0> ,8.1,<0> ,1.34,<0> ,1.29,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,3.5,<0> ,,2020-06-10 15:45:00,2020-06-10 14:45:00,1591800300.0
wqbmpwq   ,P,06/10/2020 10:00,1,1,,20.4,<0> ,45.84,<0> ,29.8,<0> ,113.5,<0> ,8.6,<0> ,1.34,<0> ,1.29,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,4.5,<0> ,,2020-06-10 16:00:00,2020-06-10 15:00:00,1591801200.0
wqbmpwq   ,P,06/10/2020 10:15,1,1,,20.5,<0> ,45.84,<0> ,29.8,<0> ,121.5,<0> ,9.2,<0> ,1.37,<0> ,1.32,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,3.1,<0> ,,2020-06-10 16:15:00,2020-06-10 15:15:00,1591802100.0
wqbmpwq   ,P,06/10/2020 10:30,1,1,,20.5,<0> ,45.84,<0> ,29.8,<0> ,125.1,<0> ,9.5,<0> ,1.4,<0> ,1.35,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,3.4,<0> ,,2020-06-10 16:30:00,2020-06-10 15:30:00,1591803000.0
wqbmpwq   ,P,06/10/2020 10:45,1,1,,20.6,<0> ,45.8,<0> ,29.7,<0> ,128.9,<0> ,9.7,<0> ,1.43,<0> ,1.38,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,4.4,<0> ,,2020-06-10 16:45:00,2020-06-10 15:45:00,1591803900.0
wqbmpwq   ,P,06/10/2020 11:00,1,1,,20.7,<0> ,45.58,<0> ,29.6,<0> ,111.7,<0> ,8.4,<0> ,1.46,<0> ,1.41,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,4.3,<0> ,,2020-06-10 17:00:00,2020-06-10 16:00:00,1591804800.0
wqbmpwq   ,P,06/10/2020 11:15,1,1,,20.8,<0> ,45.64,<0> ,29.6,<0> ,124.4,<0> ,9.4,<0> ,1.49,<0> ,1.44,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,3.4,<0> ,,2020-06-10 17:15:00,2020-06-10 16:15:00,1591805700.0
wqbmpwq   ,P,06/10/2020 11:30,1,1,,20.9,<0> ,45.68,<0> ,29.7,<0> ,125.8,<0> ,9.5,<0> ,1.51,<0> ,1.46,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,5.3,<0> ,,2020-06-10 17:30:00,2020-06-10 16:30:00,1591806600.0
wqbmpwq   ,P,06/10/2020 11:45,1,1,,21.0,<0> ,45.73,<0> ,29.7,<0> ,148.6,<0> ,11.1,<0> ,1.54,<0> ,1.49,<3> ,,<-1> ,,,8.1,<0> ,3.0,<0> ,5.4,<0> ,,2020-06-10 17:45:00,2020-06-10 16:45:00,1591807500.0
wqbmpwq   ,P,06/10/2020 12:00,1,1,,21.1,<0> ,45.77,<0> ,29.7,<0> ,168.0,<0> ,12.6,<0> ,1.57,<0> ,1.52,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,3.5,<0> ,,2020-06-10 18:00:00,2020-06-10 17:00:00,1591808400.0
wqbmpwq   ,P,06/10/2020 12:15,1,1,,21.0,<0> ,45.69,<0> ,29.7,<0> ,150.4,<0> ,11.3,<0> ,1.59,<0> ,1.54,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,5.7,<0> ,,2020-06-10 18:15:00,2020-06-10 17:15:00,1591809300.0
wqbmpwq   ,P,06/10/2020 12:30,1,1,,21.1,<0> ,45.73,<0> ,29.7,<0> ,169.8,<0> ,12.7,<0> ,1.61,<0> ,1.56,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,3.6,<0> ,,2020-06-10 18:30:00,2020-06-10 17:30:00,1591810200.0
wqbmpwq   ,P,06/10/2020 12:45,1,1,,21.2,<0> ,45.76,<0> ,29.7,<0> ,176.2,<0> ,13.2,<0> ,1.63,<0> ,1.57,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,4.0,<0> ,,2020-06-10 18:45:00,2020-06-10 17:45:00,1591811100.0
wqbmpwq   ,P,06/10/2020 13:00,1,1,,21.2,<0> ,45.75,<0> ,29.7,<0> ,181.9,<0> ,13.6,<0> ,1.65,<0> ,1.59,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,3.9,<0> ,,2020-06-10 19:00:00,2020-06-10 18:00:00,1591812000.0
wqbmpwq   ,P,06/10/2020 13:15,1,1,,21.2,<0> ,45.76,<0> ,29.7,<0> ,186.0,<0> ,13.9,<0> ,1.66,<0> ,1.6,<3> ,,<-1> ,,,8.3,<0> ,2.0,<0> ,3.8,<0> ,,2020-06-10 19:15:00,2020-06-10 18:15:00,1591812900.0
wqbmpwq   ,P,06/10/2020 13:30,1,1,,21.3,<0> ,45.72,<0> ,29.7,<0> ,200.5,<0> ,15.0,<0> ,1.67,<0> ,1.61,<3> ,,<-1> ,,,8.3,<0> ,2.0,<0> ,4.1,<0> ,,2020-06-10 19:30:00,2020-06-10 18:30:00,1591813800.0
wqbmpwq   ,P,06/10/2020 13:45,1,1,,21.4,<0> ,45.4,<0> ,29.5,<0> ,169.2,<0> ,12.6,<0> ,1.67,<0> ,1.61,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,5.9,<0> ,,2020-06-10 19:45:00,2020-06-10 18:45:00,1591814700.0
wqbmpwq   ,P,06/10/2020 14:00,1,1,,21.3,<0> ,45.7,<0> ,29.7,<0> ,189.6,<0> ,14.1,<0> ,1.68,<0> ,1.62,<3> ,,<-1> ,,,8.3,<0> ,2.0,<0> ,3.3,<0> ,,2020-06-10 20:00:00,2020-06-10 19:00:00,1591815600.0
wqbmpwq   ,P,06/10/2020 14:15,1,1,,21.4,<0> ,45.73,<0> ,29.7,<0> ,193.8,<0> ,14.4,<0> ,1.69,<0> ,1.63,<3> ,,<-1> ,,,8.3,<0> ,2.0,<0> ,3.7,<0> ,,2020-06-10 20:15:00,2020-06-10 19:15:00,1591816500.0
wqbmpwq   ,P,06/10/2020 14:30,1,1,,21.5,<0> ,45.56,<0> ,29.6,<0> ,193.4,<0> ,14.4,<0> ,1.7,<0> ,1.64,<3> ,,<-1> ,,,8.3,<0> ,2.0,<0> ,5.2,<0> ,,2020-06-10 20:30:00,2020-06-10 19:30:00,1591817400.0
wqbmpwq   ,P,06/10/2020 14:45,1,1,,21.7,<0> ,45.19,<0> ,29.3,<0> ,156.1,<0> ,11.6,<0> ,1.72,<0> ,1.67,<3> ,,<-1> ,,,8.1,<0> ,3.0,<0> ,5.7,<0> ,,2020-06-10 20:45:00,2020-06-10 19:45:00,1591818300.0
wqbmpwq   ,P,06/10/2020 15:00,1,1,,22.3,<0> ,45.52,<0> ,29.5,<0> ,158.1,<0> ,11.6,<0> ,1.75,<0> ,1.7,<3> ,,<-1> ,,,8.1,<0> ,3.0,<0> ,7.3,<0> ,,2020-06-10 21:00:00,2020-06-10 20:00:00,1591819200.0
wqbmpwq   ,P,06/10/2020 15:15,1,1,,22.0,<0> ,45.34,<0> ,29.4,<0> ,153.3,<0> ,11.3,<0> ,1.77,<0> ,1.72,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,6.8,<0> ,,2020-06-10 21:15:00,2020-06-10 20:15:00,1591820100.0
wqbmpwq   ,P,06/10/2020 15:30,1,1,,21.7,<0> ,45.46,<0> ,29.5,<0> ,179.3,<0> ,13.3,<0> ,1.79,<0> ,1.74,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,6.7,<0> ,,2020-06-10 21:30:00,2020-06-10 20:30:00,1591821000.0
wqbmpwq   ,P,06/10/2020 15:45,1,1,,22.0,<0> ,45.39,<0> ,29.4,<0> ,159.8,<0> ,11.8,<0> ,1.81,<0> ,1.76,<3> ,,<-1> ,,,8.2,<0> ,2.0,<0> ,9.5,<0> ,,2020-06-10 21:45:00,2020-06-10 20:45:00,1591821900.0
wqbmpwq   ,P,06/10/2020 16:00,1,1,,22.6,<0> ,45.34,<0> ,29.4,<0> ,137.8,<0> ,10.0,<0> ,1.83,<0> ,1.78,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,9.0,<0> ,,2020-06-10 22:00:00,2020-06-10 21:00:00,1591822800.0
wqbmpwq   ,P,06/10/2020 16:15,1,1,,22.7,<0> ,45.39,<0> ,29.4,<0> ,139.2,<0> ,10.1,<0> ,1.85,<0> ,1.8,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,7.8,<0> ,,2020-06-10 22:15:00,2020-06-10 21:15:00,1591823700.0
wqbmpwq   ,P,06/10/2020 16:30,1,1,,22.6,<0> ,45.43,<0> ,29.5,<0> ,135.8,<0> ,9.9,<0> ,1.85,<0> ,1.8,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,6.9,<0> ,,2020-06-10 22:30:00,2020-06-10 21:30:00,1591824600.0
wqbmpwq   ,P,06/10/2020 16:45,1,1,,22.4,<0> ,45.43,<0> ,29.5,<0> ,148.1,<0> ,10.8,<0> ,1.86,<0> ,1.81,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,8.1,<0> ,,2020-06-10 22:45:00,2020-06-10 21:45:00,1591825500.0
wqbmpwq   ,P,06/10/2020 17:00,1,1,,22.4,<0> ,45.46,<0> ,29.5,<0> ,139.1,<0> ,10.2,<0> ,1.85,<0> ,1.8,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,8.9,<0> ,,2020-06-10 23:00:00,2020-06-10 22:00:00,1591826400.0
wqbmpwq   ,P,06/10/2020 17:15,1,1,,22.4,<0> ,45.45,<0> ,29.5,<0> ,139.5,<0> ,10.2,<0> ,1.84,<0> ,1.78,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,12.5,<0> ,,2020-06-10 23:15:00,2020-06-10 22:15:00,1591827300.0
wqbmpwq   ,P,06/10/2020 17:30,1,1,,22.2,<0> ,45.49,<0> ,29.5,<0> ,145.3,<0> ,10.7,<0> ,1.82,<0> ,1.76,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,9.5,<0> ,,2020-06-10 23:30:00,2020-06-10 22:30:00,1591828200.0
wqbmpwq   ,P,06/10/2020 17:45,1,1,,22.1,<0> ,45.55,<0> ,29.6,<0> ,145.6,<0> ,10.7,<0> ,1.81,<0> ,1.75,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,6.8,<0> ,,2020-06-10 23:45:00,2020-06-10 22:45:00,1591829100.0
wqbmpwq   ,P,06/10/2020 18:00,1,1,,22.0,<0> ,45.55,<0> ,29.6,<0> ,150.1,<0> ,11.1,<0> ,1.79,<0> ,1.73,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,15.9,<0> ,,2020-06-11 00:00:00,2020-06-10 23:00:00,1591830000.0
wqbmpwq   ,P,06/10/2020 18:15,1,1,,22.2,<0> ,45.45,<0> ,29.5,<0> ,135.9,<0> ,10.0,<0> ,1.78,<0> ,1.72,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,14.1,<0> ,,2020-06-11 00:15:00,2020-06-10 23:15:00,1591830900.0
wqbmpwq   ,P,06/10/2020 18:30,1,1,,22.1,<0> ,45.52,<0> ,29.5,<0> ,135.1,<0> ,9.9,<0> ,1.77,<0> ,1.71,<3> ,,<-1> ,,,8.1,<0> ,2.0,<0> ,8.3,<0> ,,2020-06-11 00:30:00,2020-06-10 23:30:00,1591831800.0
wqbmpwq   ,P,06/10/2020 18:45,1,1,,22.1,<0> ,45.52,<0> ,29.5,<0> ,128.6,<0> ,9.5,<0> ,1.75,<0> ,1.69,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,9.2,<0> ,,2020-06-11 00:45:00,2020-06-10 23:45:00,1591832700.0
wqbmpwq   ,P,06/10/2020 19:00,1,1,,22.2,<0> ,45.52,<0> ,29.5,<0> ,123.3,<0> ,9.1,<0> ,1.74,<0> ,1.68,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,17.1,<0> ,,2020-06-11 01:00:00,2020-06-11 00:00:00,1591833600.0
wqbmpwq   ,P,06/10/2020 19:15,1,1,,22.2,<0> ,45.45,<0> ,29.5,<0> ,129.8,<0> ,9.5,<0> ,1.72,<0> ,1.66,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,13.7,<0> ,,2020-06-11 01:15:00,2020-06-11 00:15:00,1591834500.0
wqbmpwq   ,P,06/10/2020 19:30,1,1,,22.2,<0> ,45.24,<0> ,29.3,<0> ,129.3,<0> ,9.5,<0> ,1.69,<0> ,1.63,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,15.4,<0> ,,2020-06-11 01:30:00,2020-06-11 00:30:00,1591835400.0
wqbmpwq   ,P,06/10/2020 19:45,1,1,,22.2,<0> ,45.11,<0> ,29.2,<0> ,123.6,<0> ,9.1,<0> ,1.67,<0> ,1.61,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,10.7,<0> ,,2020-06-11 01:45:00,2020-06-11 00:45:00,1591836300.0
wqbmpwq   ,P,06/10/2020 20:00,1,1,,22.2,<0> ,45.16,<0> ,29.3,<0> ,121.1,<0> ,8.9,<0> ,1.65,<0> ,1.59,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,12.5,<0> ,,2020-06-11 02:00:00,2020-06-11 01:00:00,1591837200.0
wqbmpwq   ,P,06/10/2020 20:15,1,1,,22.2,<0> ,45.15,<0> ,29.3,<0> ,117.3,<0> ,8.6,<0> ,1.62,<0> ,1.56,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,9.7,<0> ,,2020-06-11 02:15:00,2020-06-11 01:15:00,1591838100.0
wqbmpwq   ,P,06/10/2020 20:30,1,1,,22.1,<0> ,45.12,<0> ,29.2,<0> ,117.4,<0> ,8.7,<0> ,1.6,<0> ,1.54,<3> ,,<-1> ,,,8.0,<0> ,2.0,<0> ,10.9,<0> ,,2020-06-11 02:30:00,2020-06-11 01:30:00,1591839000.0
wqbmpwq   ,P,06/10/2020 20:45,1,1,,22.0,<0> ,45.21,<0> ,29.3,<0> ,110.9,<0> ,8.2,<0> ,1.58,<0> ,1.52,<3> ,,<-1> ,,,7.9,<0> ,2.0,<0> ,9.7,<0> ,,2020-06-11 02:45:00,2020-06-11 01:45:00,1591839900.0
